table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5418,r343,"All institutions -> CUNY, Baruch C.",All institutions,"CUNY, Baruch C.",2,342,"['2,396', '']","['1,470', '']","['14', '']","['434', '']","['0', '']","['367', '']","['111', '']"
5418,r344,"All institutions -> U. Louisiana, Monroe",All institutions,"U. Louisiana, Monroe",2,343,"['2,362', '']","['2,025', '']","['210', '']","['69', '']","['22', '']","['36', '']","['0', '']"
5418,r345,All institutions -> Saginaw Valley State U.,All institutions,Saginaw Valley State U.,2,344,"['2,343', '']","['1,809', '']","['0', '']","['398', '']","['5', '']","['115', '']","['16', '']"
5418,r346,All institutions -> Framingham State U.,All institutions,Framingham State U.,2,345,"['2,317', '']","['179', '']","['0', '']","['0', '']","['78', '']","['2,060', '']","['0', '']"
5418,r347,All institutions -> U. Wisconsin-Superior,All institutions,U. Wisconsin-Superior,2,346,"['2,301', '']","['1,382', '']","['174', '']","['563', '']","['66', '']","['10', '']","['106', '']"
5418,r348,All institutions -> U. Houston-Downtown,All institutions,U. Houston-Downtown,2,347,"['2,299', '']","['1,392', '']","['120', '']","['280', '']","['0', '']","['507', '']","['0', '']"
5418,r349,All institutions -> Eastern Washington U.,All institutions,Eastern Washington U.,2,348,"['2,282', '']","['1,153', '']","['931', '']","['NA', '']","['14', '']","['134', '']","['50', '']"
5418,r350,"All institutions -> Purdue U., Fort Wayne",All institutions,"Purdue U., Fort Wayne",2,349,"['2,264', '']","['589', '']","['408', '']","['713', '']","['70', '']","['54', '']","['430', '']"
5418,r351,All institutions -> Southeastern Louisiana U.,All institutions,Southeastern Louisiana U.,2,350,"['2,258', '']","['884', '']","['213', '']","['913', '']","['61', '']","['187', '']","['0', '']"
5418,r352,"All institutions -> SUNY, Buffalo State",All institutions,"SUNY, Buffalo State",2,351,"['2,253', '']","['1,241', '']","['619', '']","['293', '']","['35', '']","['49', '']","['16', '']"
5418,r353,All institutions -> Winthrop U.,All institutions,Winthrop U.,2,352,"['2,217', '']","['1,563', '']","['293', '']","['220', '']","['34', '']","['107', '']","['0', '']"
5418,r354,All institutions -> Kean U.,All institutions,Kean U.,2,353,"['2,201', '']","['775', '']","['447', '']","['885', '']","['29', '']","['26', '']","['39', '']"
5418,r355,All institutions -> Pittsburg State U.,All institutions,Pittsburg State U.,2,354,"['2,173', '']","['477', '']","['570', '']","['NA', '']","['1,085', '']","['41', '']","['0', '']"
5418,r356,"All institutions -> U. South Florida, Sarasota-Manatee",All institutions,"U. South Florida, Sarasota-Manatee",2,355,"['2,150', '']","['10', '']","['0', '']","['2,096', '']","['0', '']","['44', '']","['0', '']"
