table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11232,r1032,All institutions -> Illinois C.,All institutions,Illinois C.,2,1031,75,2,0,0,73,0
11232,r1033,All institutions -> Hollins U.,All institutions,Hollins U.,2,1032,75,1,0,0,73,0
11232,r1034,All institutions -> Lindsey Wilson C.,All institutions,Lindsey Wilson C.,2,1033,75,1,0,0,73,0
11232,r1035,All institutions -> Albright C.,All institutions,Albright C.,2,1034,74,1,0,0,73,0
11232,r1036,All institutions -> Uniformed Services U. Health Sciences,All institutions,Uniformed Services U. Health Sciences,2,1035,72,72,0,0,0,0
11232,r1037,"All institutions -> U. Tampa, The",All institutions,"U. Tampa, The",2,1036,71,71,0,0,0,0
11232,r1038,All institutions -> Riverland Community C.,All institutions,Riverland Community C.,2,1037,70,70,0,0,0,0
11232,r1039,All institutions -> St. Mary's C. Maryland,All institutions,St. Mary's C. Maryland,2,1038,69,69,0,0,0,0
11232,r1040,All institutions -> Wittenberg U.,All institutions,Wittenberg U.,2,1039,63,63,0,0,0,0
11232,r1041,All institutions -> St. Norbert C.,All institutions,St. Norbert C.,2,1040,60,60,0,0,0,0
11232,r1042,All institutions -> Lake Area Technical Institute,All institutions,Lake Area Technical Institute,2,1041,59,0,0,0,0,59
11232,r1043,All institutions -> Johnson State C.,All institutions,Johnson State C.,2,1042,58,58,0,0,0,0
11232,r1044,All institutions -> Des Moines U.,All institutions,Des Moines U.,2,1043,57,57,0,0,0,0
11232,r1045,All institutions -> Colorado Christian U.,All institutions,Colorado Christian U.,2,1044,55,1,0,0,54,0
11232,r1046,"All institutions -> SUNY, Farmingdale State C.",All institutions,"SUNY, Farmingdale State C.",2,1045,53,53,0,0,0,0
11232,r1047,All institutions -> C. Southern Idaho,All institutions,C. Southern Idaho,2,1046,53,0,0,0,53,0
11232,r1048,All institutions -> Blue Mountain C.,All institutions,Blue Mountain C.,2,1047,53,0,0,0,53,0
11232,r1049,All institutions -> Cooper Union for the Advancement of Science and Art,All institutions,Cooper Union for the Advancement of Science and Art,2,1048,52,52,0,0,0,0
11232,r1050,All institutions -> U. Central Arkansas,All institutions,U. Central Arkansas,2,1049,51,12,0,0,39,0
