table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7308,r152,All states and outlying areas -> Wisconsin -> Obligations ($thousands),All states and outlying areas,Wisconsin,Obligations ($thousands),3,705232.9,662235.6,7355.2,0.0,31339.3,1972.5,2330.3
7308,r153,All states and outlying areas -> Wisconsin -> Institutions (number),All states and outlying areas,Wisconsin,Institutions (number),3,19,18,3,0,12,2,4
7308,r154,All states and outlying areas -> Wyoming,All states and outlying areas,Wyoming,,2,,,,,,,
7308,r155,All states and outlying areas -> Wyoming -> Obligations ($thousands),All states and outlying areas,Wyoming,Obligations ($thousands),3,57348.7,50143.8,6047.9,0.0,326.0,55.0,776.1
7308,r156,All states and outlying areas -> Wyoming -> Institutions (number),All states and outlying areas,Wyoming,Institutions (number),3,2,2,1,0,2,1,1
7308,r157,All states and outlying areas -> American Samoa,All states and outlying areas,American Samoa,,2,,,,,,,
7308,r158,All states and outlying areas -> American Samoa -> Obligations ($thousands),All states and outlying areas,American Samoa,Obligations ($thousands),3,1197.4,1197.4,0.0,0.0,0.0,0.0,0.0
7308,r159,All states and outlying areas -> American Samoa -> Institutions (number),All states and outlying areas,American Samoa,Institutions (number),3,1,1,0,0,0,0,0
7308,r160,All states and outlying areas -> Guam,All states and outlying areas,Guam,,2,,,,,,,
7308,r161,All states and outlying areas -> Guam -> Obligations ($thousands),All states and outlying areas,Guam,Obligations ($thousands),3,9924.3,9289.8,0.0,0.0,614.0,0.0,20.4
7308,r162,All states and outlying areas -> Guam -> Institutions (number),All states and outlying areas,Guam,Institutions (number),3,1,1,0,0,1,0,1
7308,r163,All states and outlying areas -> Puerto Rico,All states and outlying areas,Puerto Rico,,2,,,,,,,
7308,r164,All states and outlying areas -> Puerto Rico -> Obligations ($thousands),All states and outlying areas,Puerto Rico,Obligations ($thousands),3,90998.8,79455.0,0.0,0.0,11120.7,0.0,423.0
7308,r165,All states and outlying areas -> Puerto Rico -> Institutions (number),All states and outlying areas,Puerto Rico,Institutions (number),3,19,18,0,0,14,0,3
7308,r166,All states and outlying areas -> Trust Territory of the Pacific Islands,All states and outlying areas,Trust Territory of the Pacific Islands,,2,,,,,,,
7308,r167,All states and outlying areas -> Trust Territory of the Pacific Islands -> Obligations ($thousands),All states and outlying areas,Trust Territory of the Pacific Islands,Obligations ($thousands),3,2731.2,2731.2,0.0,0.0,0.0,0.0,0.0
7308,r168,All states and outlying areas -> Trust Territory of the Pacific Islands -> Institutions (number),All states and outlying areas,Trust Territory of the Pacific Islands,Institutions (number),3,2,2,0,0,0,0,0
7308,r169,All states and outlying areas -> Virgin Islands,All states and outlying areas,Virgin Islands,,2,,,,,,,
7308,r170,All states and outlying areas -> Virgin Islands -> Obligations ($thousands),All states and outlying areas,Virgin Islands,Obligations ($thousands),3,10409.2,8595.8,0.0,0.0,1674.0,0.0,139.4
7308,r171,All states and outlying areas -> Virgin Islands -> Institutions (number),All states and outlying areas,Virgin Islands,Institutions (number),3,1,1,0,0,1,0,1
