table_id,row_id,_b_agency_or_facility_b_full_path,_b_agency_or_facility_b_level_1,_b_agency_or_facility_b_level_2,_b_agency_or_facility_b_level_3,_b_agency_or_facility_b_level_4,_b_agency_or_facility_b_level_5,_b_agency_or_facility_b_level_6,_b_agency_or_facility_b_hierarchy_depth,field_all_job_categories_all,field_all_job_categories_researchers,field_all_job_categories_r_d_technicians,field_all_job_categories_r_d_support_staff,field_federal_employees_and_military_personnel_all,field_federal_employees_and_military_personnel_researchers,field_federal_employees_and_military_personnel_r_d_technicians,field_federal_employees_and_military_personnel_r_d_support_staff,field_contractors_all,field_contractors_researchers,field_contractors_r_d_technicians,field_contractors_r_d_support_staff,field_all_other_r_d_personnel_all,field_all_other_r_d_personnel_researchers,field_all_other_r_d_personnel_r_d_technicians,field_all_other_r_d_personnel_r_d_support_staff
12496,r200,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Dental and Craniofacial Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Dental and Craniofacial Research,,,4,115,75,15,25,115,75,15,25,0,0,0,0,0,0,0,0
12496,r201,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Diabetes and Digestive and Kidney Diseases,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Diabetes and Digestive and Kidney Diseases,,,4,962,660,182,120,502,278,139,85,89,13,41,35,371,369,2,0
12496,r202,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Environmental Health Sciences,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Environmental Health Sciences,,,4,842,503,214,125,472,206,161,105,100,27,53,20,270,270,0,0
12496,r203,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Mental Health,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Mental Health,,,4,168,52,95,21,58,38,14,6,59,0,44,15,51,14,37,0
12496,r204,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Neurological Disorders and Stroke,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Neurological Disorders and Stroke,,,4,1248,473,491,284,335,99,158,78,318,0,124,194,595,374,209,12
12496,r205,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute of Nursing Research,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute of Nursing Research,,,4,26,3,0,23,26,3,0,23,0,0,0,0,0,0,0,0
12496,r206,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Aging,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Aging,,,4,81,81,0,0,31,31,0,0,50,50,0,0,0,0,0,0
12496,r207,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Alcohol Abuse and Alcoholism,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Alcohol Abuse and Alcoholism,,,4,289,138,120,31,84,49,25,10,38,7,10,21,167,82,85,0
12496,r208,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Deafness and Other Communication Disorders,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Deafness and Other Communication Disorders,,,4,147,94,33,20,67,37,13,17,36,13,20,3,44,44,0,0
12496,r209,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Drug Abuse,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Drug Abuse,,,4,438,27,340,71,123,27,65,31,114,0,74,40,201,0,201,0
12496,r210,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Institute on Minority Health and Health Disparities,All agencies,Department of Health and Human Services,National Institutes of Health,National Institute on Minority Health and Health Disparities,,,4,76,74,0,2,13,12,0,1,18,17,0,1,45,45,0,0
12496,r211,All agencies -> Department of Health and Human Services -> National Institutes of Health -> National Library of Medicine,All agencies,Department of Health and Human Services,National Institutes of Health,National Library of Medicine,,,4,133,133,0,0,63,63,0,0,43,43,0,0,27,27,0,0
12496,r212,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,,,,,2,,,,,,,,,,,,,,,,
12496,r213,All agencies -> Department of Homeland Security -> Coast Guard,All agencies,Department of Homeland Security,Coast Guard,,,,3,,,,,,,,,,,,,,,,
12496,r214,"All agencies -> Department of Homeland Security -> Coast Guard -> Acquisition Directorate, Research and Development Center",All agencies,Department of Homeland Security,Coast Guard,"Acquisition Directorate, Research and Development Center",,,4,88,64,2,22,82,64,2,16,6,0,0,6,0,0,0,0
12496,r215,All agencies -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r216,All agencies -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Department of Homeland Security,Science and Technology Directorate,,,,3,,,,,,,,,,,,,,,,
12496,r217,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,,,4,,,,,,,,,,,,,,,,
12496,r218,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Chemical Security Analysis Center,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Chemical Security Analysis Center,,5,38,16,22,0,16,16,0,0,22,0,22,0,0,0,0,0
12496,r219,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> National Urban Security Technology Laboratory,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,National Urban Security Technology Laboratory,,5,87,34,53,0,34,34,0,0,53,0,53,0,0,0,0,0
12496,r220,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Plum Island Animal Disease Center,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Plum Island Animal Disease Center,,5,320,165,155,0,208,165,43,0,112,0,112,0,0,0,0,0
12496,r221,All agencies -> Department of Homeland Security -> Science and Technology Directorate -> Office of National Laboratories -> Transportation Security Laboratory,All agencies,Department of Homeland Security,Science and Technology Directorate,Office of National Laboratories,Transportation Security Laboratory,,5,202,103,99,0,135,103,32,0,67,0,67,0,0,0,0,0
12496,r222,All agencies -> Department of the Interior,All agencies,Department of the Interior,,,,,2,,,,,,,,,,,,,,,,
12496,r223,All agencies -> Department of the Interior -> Bureau of Land Management,All agencies,Department of the Interior,Bureau of Land Management,,,,3,23,15,8,0,23,15,8,0,0,0,0,0,0,0,0,0
12496,r224,All agencies -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Department of the Interior,Bureau of Ocean Energy Management,,,,3,341,341,0,0,341,341,0,0,0,0,0,0,0,0,0,0
12496,r225,All agencies -> Department of the Interior -> Bureau of Reclamation,All agencies,Department of the Interior,Bureau of Reclamation,,,,3,230,176,36,18,230,176,36,18,0,0,0,0,0,0,0,0
12496,r226,All agencies -> Department of the Interior -> Fish and Wildlife Service,All agencies,Department of the Interior,Fish and Wildlife Service,,,,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r227,All agencies -> Department of the Interior -> Geological Survey,All agencies,Department of the Interior,Geological Survey,,,,3,,,,,,,,,,,,,,,,
12496,r228,All agencies -> Department of the Interior -> Geological Survey -> Core Science Systems Mission Area,All agencies,Department of the Interior,Geological Survey,Core Science Systems Mission Area,,,4,538,425,15,98,538,425,15,98,0,0,0,0,0,0,0,0
12496,r229,All agencies -> Department of the Interior -> Geological Survey -> Ecosystems Mission Area,All agencies,Department of the Interior,Geological Survey,Ecosystems Mission Area,,,4,1885,1280,259,346,1885,1280,259,346,0,0,0,0,0,0,0,0
12496,r230,All agencies -> Department of the Interior -> Geological Survey -> Energy and Minerals Mission Area,All agencies,Department of the Interior,Geological Survey,Energy and Minerals Mission Area,,,4,432,345,10,77,432,345,10,77,0,0,0,0,0,0,0,0
12496,r231,All agencies -> Department of the Interior -> Geological Survey -> Natural Hazards Mission Area,All agencies,Department of the Interior,Geological Survey,Natural Hazards Mission Area,,,4,746,542,35,169,746,542,35,169,0,0,0,0,0,0,0,0
12496,r232,All agencies -> Department of the Interior -> Geological Survey -> Water Resources Mission Area,All agencies,Department of the Interior,Geological Survey,Water Resources Mission Area,,,4,2591,1432,40,1119,2591,1432,40,1119,0,0,0,0,0,0,0,0
12496,r233,All agencies -> Department of the Interior -> National Park Service,All agencies,Department of the Interior,National Park Service,,,,3,93,26,67,0,93,26,67,0,0,0,0,0,0,0,0,0
12496,r234,All agencies -> Department of Transportation,All agencies,Department of Transportation,,,,,2,,,,,,,,,,,,,,,,
12496,r235,All agencies -> Department of Transportation -> Federal Aviation Administration,All agencies,Department of Transportation,Federal Aviation Administration,,,,3,,,,,,,,,,,,,,,,
12496,r236,All agencies -> Department of Transportation -> Federal Aviation Administration -> Office of Aerospace Medicine,All agencies,Department of Transportation,Federal Aviation Administration,Office of Aerospace Medicine,,,4,89,46,18,25,73,44,18,11,16,2,0,14,0,0,0,0
12496,r237,All agencies -> Department of Transportation -> Federal Aviation Administration -> Office of NextGen,All agencies,Department of Transportation,Federal Aviation Administration,Office of NextGen,,,4,200,150,30,20,200,150,30,20,0,0,0,0,0,0,0,0
12496,r238,All agencies -> Department of Transportation -> Federal Highway Administration,All agencies,Department of Transportation,Federal Highway Administration,,,,3,,,,,,,,,,,,,,,,
12496,r239,All agencies -> Department of Transportation -> Federal Highway Administration -> Intelligence Transportation Systems Joint Program Office,All agencies,Department of Transportation,Federal Highway Administration,Intelligence Transportation Systems Joint Program Office,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r240,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Administrations,All agencies,Department of Transportation,Federal Highway Administration,Office of Administrations,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r241,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Operations,All agencies,Department of Transportation,Federal Highway Administration,Office of Operations,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r242,All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Planning,All agencies,Department of Transportation,Federal Highway Administration,Office of Planning,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r243,"All agencies -> Department of Transportation -> Federal Highway Administration -> Office of Research, Development, and Technology",All agencies,Department of Transportation,Federal Highway Administration,"Office of Research, Development, and Technology",,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r244,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Department of Transportation,National Highway Traffic Safety Administration,,,,3,,,,,,,,,,,,,,,,
12496,r245,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration -> Office of Vehicle Safety Research,All agencies,Department of Transportation,National Highway Traffic Safety Administration,Office of Vehicle Safety Research,,,4,,,,,,,,,,,,,,,,
12496,r246,All agencies -> Department of Transportation -> National Highway Traffic Safety Administration -> Office of Vehicle Safety Research -> Vehicle Research and Test Center,All agencies,Department of Transportation,National Highway Traffic Safety Administration,Office of Vehicle Safety Research,Vehicle Research and Test Center,,5,22,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0
12496,r247,All agencies -> Department of Transportation -> Office of the Assistant Secretary for Research and Technology,All agencies,Department of Transportation,Office of the Assistant Secretary for Research and Technology,,,,3,,,,,,,,,,,,,,,,
12496,r248,All agencies -> Department of Transportation -> Office of the Assistant Secretary for Research and Technology -> John A. Volpe National Transportation Systems Center,All agencies,Department of Transportation,Office of the Assistant Secretary for Research and Technology,John A. Volpe National Transportation Systems Center,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r249,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,,,,,2,,,,,,,,,,,,,,,,
12496,r250,All agencies -> Department of Veterans Affairs -> Office of Research and Development Central Office,All agencies,Department of Veterans Affairs,Office of Research and Development Central Office,,,,3,130,0,0,130,130,0,0,130,0,0,0,0,0,0,0,0
12496,r251,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,,,,3,,,,,,,,,,,,,,,,
12496,r252,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Bedford Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Bedford Health Care System,,,4,66,58,1,7,66,58,1,7,0,0,0,0,0,0,0,0
12496,r253,"All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Boston Health Care System, Jamaica Plain Campus",All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,"Boston Health Care System, Jamaica Plain Campus",,,4,498,365,64,69,498,365,64,69,0,0,0,0,0,0,0,0
12496,r254,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Central Western Massachusetts Health Care,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Central Western Massachusetts Health Care,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r255,"All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Connecticut Health Care System, West Haven Medical Center",All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,"Connecticut Health Care System, West Haven Medical Center",,,4,127,88,14,25,127,88,14,25,0,0,0,0,0,0,0,0
12496,r256,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Manchester Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Manchester Medical Center,,,4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
12496,r257,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Providence Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Providence Medical Center,,,4,80,63,11,6,80,63,11,6,0,0,0,0,0,0,0,0
12496,r258,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> Togus Maine Health Care System,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,Togus Maine Health Care System,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r259,All agencies -> Department of Veterans Affairs -> Veterans Integrated Services Network (VISN) 1: New England Health Care System -> White River Junction Medical Center,All agencies,Department of Veterans Affairs,Veterans Integrated Services Network (VISN) 1: New England Health Care System,White River Junction Medical Center,,,4,23,17,1,5,23,17,1,5,0,0,0,0,0,0,0,0
12496,r260,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,,,,3,,,,,,,,,,,,,,,,
12496,r261,"All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Bronx Health Care, James J. Peters Medical Center",All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,"Bronx Health Care, James J. Peters Medical Center",,,4,58,40,8,10,58,40,8,10,0,0,0,0,0,0,0,0
12496,r262,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> New Jersey Health Care,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,New Jersey Health Care,,,4,20,14,5,1,20,14,5,1,0,0,0,0,0,0,0,0
12496,r263,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> New York Harbor Health Care,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,New York Harbor Health Care,,,4,18,9,3,6,18,9,3,6,0,0,0,0,0,0,0,0
12496,r264,All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Northport Medical Center,All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,Northport Medical Center,,,4,7,3,2,2,7,3,2,2,0,0,0,0,0,0,0,0
12496,r265,"All agencies -> Department of Veterans Affairs -> VISN 2: New York/ New Jersey Veterans Health Care Network -> Western New York Health Care, Buffalo Medical Center",All agencies,Department of Veterans Affairs,VISN 2: New York/ New Jersey Veterans Health Care Network,"Western New York Health Care, Buffalo Medical Center",,,4,20,7,5,8,20,7,5,8,0,0,0,0,0,0,0,0
12496,r266,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care,All agencies,Department of Veterans Affairs,VISN 4: Health Care,,,,3,,,,,,,,,,,,,,,,
12496,r267,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Coatesville Medical Center,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Coatesville Medical Center,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r268,"All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Philadelphia Health Care, Corporal Michael J. Crescenz Medical Center",All agencies,Department of Veterans Affairs,VISN 4: Health Care,"Philadelphia Health Care, Corporal Michael J. Crescenz Medical Center",,,4,79,50,21,8,79,50,21,8,0,0,0,0,0,0,0,0
12496,r269,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Pittsburgh Medical Center-University Drive,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Pittsburgh Medical Center-University Drive,,,4,3,2,0,1,3,2,0,1,0,0,0,0,0,0,0,0
12496,r270,All agencies -> Department of Veterans Affairs -> VISN 4: Health Care -> Wilkes-Barre Medical Center,All agencies,Department of Veterans Affairs,VISN 4: Health Care,Wilkes-Barre Medical Center,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r271,All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network,All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,,,,3,,,,,,,,,,,,,,,,
12496,r272,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Huntington Health Care, Hershel (Woody) Williams Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Huntington Health Care, Hershel (Woody) Williams Medical Center",,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r273,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Maryland Health Care, Baltimore Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Maryland Health Care, Baltimore Medical Center",,,4,70,42,15,13,70,42,15,13,0,0,0,0,0,0,0,0
12496,r274,"All agencies -> Department of Veterans Affairs -> VISN 5: Capitol Health Care Network -> Washington DC Health Care, Washington Medical Center",All agencies,Department of Veterans Affairs,VISN 5: Capitol Health Care Network,"Washington DC Health Care, Washington Medical Center",,,4,31,15,4,12,31,15,4,12,0,0,0,0,0,0,0,0
12496,r275,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,,,,3,,,,,,,,,,,,,,,,
12496,r276,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Asheville Health Care, Charles George Medical Center",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Asheville Health Care, Charles George Medical Center",,,4,5,4,1,0,5,4,1,0,0,0,0,0,0,0,0,0
12496,r277,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Durham Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Durham Medical Center,,,4,144,112,18,14,144,112,18,14,0,0,0,0,0,0,0,0
12496,r278,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Hampton Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Hampton Medical Center,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r279,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Richmond Health Care, Hunter Holmes McGuire Hospital",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Richmond Health Care, Hunter Holmes McGuire Hospital",,,4,33,12,12,9,33,12,12,9,0,0,0,0,0,0,0,0
12496,r280,All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Salem Medical Center,All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,Salem Medical Center,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r281,"All agencies -> Department of Veterans Affairs -> VISN 6: Mid-Atlantic Health Care Network -> Salisbury Health Care, W.G. (Bill) Hefner Salisbury Medical Center",All agencies,Department of Veterans Affairs,VISN 6: Mid-Atlantic Health Care Network,"Salisbury Health Care, W.G. (Bill) Hefner Salisbury Medical Center",,,4,17,6,10,1,17,6,10,1,0,0,0,0,0,0,0,0
12496,r282,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,,,,3,,,,,,,,,,,,,,,,
12496,r283,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Atlanta Medical Center,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,Atlanta Medical Center,,,4,84,59,20,5,84,59,20,5,0,0,0,0,0,0,0,0
12496,r284,"All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Augusta Health Care, Charlie Norwood Medical Center",All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,"Augusta Health Care, Charlie Norwood Medical Center",,,4,20,11,5,4,20,11,5,4,0,0,0,0,0,0,0,0
12496,r285,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Birmingham Medical Center,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,Birmingham Medical Center,,,4,26,14,5,7,26,14,5,7,0,0,0,0,0,0,0,0
12496,r286,"All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Charleston Health Care, Ralph H. Johnson Medical Center",All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,"Charleston Health Care, Ralph H. Johnson Medical Center",,,4,103,69,24,10,103,69,24,10,0,0,0,0,0,0,0,0
12496,r287,"All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Columbia South Carolina Health Care, William Jennings Bryan Dorn Medical Center",All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,"Columbia South Carolina Health Care, William Jennings Bryan Dorn Medical Center",,,4,10,5,0,5,10,5,0,5,0,0,0,0,0,0,0,0
12496,r288,All agencies -> Department of Veterans Affairs -> VISN 7: Southeast Network -> Tuscaloosa Medical Center,All agencies,Department of Veterans Affairs,VISN 7: Southeast Network,Tuscaloosa Medical Center,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r289,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,,,,3,,,,,,,,,,,,,,,,
12496,r290,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Bay Pines Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Bay Pines Health Care System,,,4,9,4,3,2,9,4,3,2,0,0,0,0,0,0,0,0
12496,r291,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Caribbean Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Caribbean Health Care System,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r292,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Miami Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Miami Health Care System,,,4,50,32,11,7,50,32,11,7,0,0,0,0,0,0,0,0
12496,r293,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> North Florida/ South Georgia Health Care System,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,North Florida/ South Georgia Health Care System,,,4,64,39,12,13,64,39,12,13,0,0,0,0,0,0,0,0
12496,r294,All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Orlando Medical Center,All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,Orlando Medical Center,,,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12496,r295,"All agencies -> Department of Veterans Affairs -> VISN 8: Sunshine Health Care Network -> Tampa Health Care, James A. Haley Veterans' Hospital",All agencies,Department of Veterans Affairs,VISN 8: Sunshine Health Care Network,"Tampa Health Care, James A. Haley Veterans' Hospital",,,4,75,55,10,10,75,55,10,10,0,0,0,0,0,0,0,0
12496,r296,All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network,All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,,,,3,,,,,,,,,,,,,,,,
12496,r297,All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Lexington Medical Center (Troy Bowling Campus),All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,Lexington Medical Center (Troy Bowling Campus),,,4,15,9,2,4,15,9,2,4,0,0,0,0,0,0,0,0
12496,r298,"All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Louisville Health Care, Robley Rex Medical Center",All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,"Louisville Health Care, Robley Rex Medical Center",,,4,12,7,2,3,12,7,2,3,0,0,0,0,0,0,0,0
12496,r299,All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Memphis Medical Center,All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,Memphis Medical Center,,,4,25,11,12,2,25,11,12,2,0,0,0,0,0,0,0,0
12496,r300,"All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Mountain Home Health Care, James H. Quillen Medical Center",All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,"Mountain Home Health Care, James H. Quillen Medical Center",,,4,9,4,1,4,9,4,1,4,0,0,0,0,0,0,0,0
12496,r301,"All agencies -> Department of Veterans Affairs -> VISN 9: MidSouth Health Care Network -> Tennessee Valley Health Care, Nashville Medical Center",All agencies,Department of Veterans Affairs,VISN 9: MidSouth Health Care Network,"Tennessee Valley Health Care, Nashville Medical Center",,,4,50,29,10,11,50,29,10,11,0,0,0,0,0,0,0,0
12496,r302,All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System,All agencies,Department of Veterans Affairs,VISN 10: Health Care System,,,,3,,,,,,,,,,,,,,,,
12496,r303,All agencies -> Department of Veterans Affairs -> VISN 10: Health Care System -> Ann Arbor Health Care System,All agencies,Department of Veterans Affairs,VISN 10: Health Care System,Ann Arbor Health Care System,,,4,143,107,19,17,143,107,19,17,0,0,0,0,0,0,0,0
