table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
8802,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['49,449 - 49,463', '  ']","['6', '  ']","['84 - 286', '  ']","['63', '  ']",621,,"['169', '  ']","['1,026', '  ']","['3,673', '  ']","['503', '  ']","['1,580 - 1,791', '  ']","['41,518', '  ']"
8802,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['12,296', '  ']","['36', '  ']","['11', '  ']","['47', '  ']",237,,"['4 - 569', '  ']","['510', '  ']","['3,167', '  ']","['1,292', '  ']","['2,477', '  ']","['3,945 - 4,518', '  ']"
8802,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['3,249', '  ']","['0 - 23', '  ']","['9', '  ']","['5', '  ']",7,,"['0 - 23', '  ']","['21', '  ']","['3,186', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
8802,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['7', '  ']","['0', '  ']","['2', '  ']","['3', '  ']",2,,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
8802,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['3,242', '  ']","['0 - 23', '  ']","['7', '  ']","['3', '  ']",5,,"['0 - 23', '  ']","['21', '  ']","['3,186', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
8802,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['54,367', '  ']","['2,469', '  ']","['4,352', '  ']","['3,490', '  ']",6462,,"['3,728', '  ']","['2,004', '  ']","['5,808', '  ']","['5,280', '  ']","['10,723', 'i ']","['10,052', '  ']"
8802,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['4,214', '  ']","['365', '  ']","['471', '  ']","['490', '  ']",688,,"['682', '  ']","['150', '  ']","['334', '  ']","['259', '  ']","['190', '  ']","['587', '  ']"
8802,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['17,935', '  ']","['612', '  ']","['1,553', '  ']","['895', '  ']",1228,,"['1,149', '  ']","['715', '  ']","['2,903', '  ']","['25', '  ']","['4,017', '  ']","['4,838', '  ']"
8802,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['25,600', '  ']","['1,393', '  ']","['1,980', '  ']","['1,736', '  ']",3952,i ,"['1,171', '  ']","['918', '  ']","['1,928', '  ']","['3,362', 'i ']","['6,403', 'i ']","['2,758', '  ']"
8802,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in nanotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in nanotechnology,5,541713,"['179', 'i ']","['112', 'i ']","['67', 'i ']","['0', '  ']",0,,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
8802,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),5,541714,"['6,191', '  ']","['330', '  ']","['454', '  ']","['434', '  ']",429,,"['112', '  ']","['59', '  ']","['0', '  ']","['0', '  ']","['1,615', '  ']","['2,758', '  ']"
8802,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",5,541715,"['18,539', 'i ']","['944', '  ']","['1,454', '  ']","['1,267 - 1,302', '  ']","2,841 - 3,524",i ,"['1,025 - 1,060', '  ']","['858', '  ']","['1,279 - 1,928', 'i ']","['3,362', 'i ']","['4,788', 'i ']","['0', '  ']"
