table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
5783,r262,2020 -> Total -> China,S&E,Psychology,2,2950
5783,r263,2020 -> Total -> China,S&E,Social sciences,2,10670
5783,r264,2020 -> Total -> China,Non-S&E,,1,50370
5783,r265,2020 -> Total -> India,All fields,,1,17950
5783,r266,2020 -> Total -> India,S&E,All S&E fields,2,10810
5783,r267,2020 -> Total -> India,S&E,Engineering,2,3350
5783,r268,2020 -> Total -> India,S&E,Agricultural sciences,2,80
5783,r269,2020 -> Total -> India,S&E,Biological sciences,2,1030
5783,r270,2020 -> Total -> India,S&E,Computer sciences,2,3840
5783,r271,2020 -> Total -> India,S&E,Mathematics and statistics,2,520
5783,r272,2020 -> Total -> India,S&E,Physical sciences,2,350
5783,r273,2020 -> Total -> India,S&E,Psychology,2,430
5783,r274,2020 -> Total -> India,S&E,Social sciences,2,1220
5783,r275,2020 -> Total -> India,Non-S&E,,1,7140
5783,r276,2020 -> Total -> Vietnam,All fields,,1,15180
5783,r277,2020 -> Total -> Vietnam,S&E,All S&E fields,2,5990
5783,r278,2020 -> Total -> Vietnam,S&E,Engineering,2,1530
5783,r279,2020 -> Total -> Vietnam,S&E,Agricultural sciences,2,70
5783,r280,2020 -> Total -> Vietnam,S&E,Biological sciences,2,930
5783,r281,2020 -> Total -> Vietnam,S&E,Computer sciences,2,2120
5783,r282,2020 -> Total -> Vietnam,S&E,Mathematics and statistics,2,310
5783,r283,2020 -> Total -> Vietnam,S&E,Physical sciences,2,380
5783,r284,2020 -> Total -> Vietnam,S&E,Psychology,2,270
5783,r285,2020 -> Total -> Vietnam,S&E,Social sciences,2,400
5783,r286,2020 -> Total -> Vietnam,Non-S&E,,1,9190
5783,r287,2020 -> Total -> South Korea,All fields,,1,14730
5783,r288,2020 -> Total -> South Korea,S&E,All S&E fields,2,5530
5783,r289,2020 -> Total -> South Korea,S&E,Engineering,2,1280
5783,r290,2020 -> Total -> South Korea,S&E,Agricultural sciences,2,90
5783,r291,2020 -> Total -> South Korea,S&E,Biological sciences,2,690
5783,r292,2020 -> Total -> South Korea,S&E,Computer sciences,2,1490
5783,r293,2020 -> Total -> South Korea,S&E,Mathematics and statistics,2,430
5783,r294,2020 -> Total -> South Korea,S&E,Physical sciences,2,270
5783,r295,2020 -> Total -> South Korea,S&E,Psychology,2,390
5783,r296,2020 -> Total -> South Korea,S&E,Social sciences,2,880
5783,r297,2020 -> Total -> South Korea,Non-S&E,,1,9200
5783,r298,2020 -> Total -> Saudi Arabia,All fields,,1,11620
5783,r299,2020 -> Total -> Saudi Arabia,S&E,All S&E fields,2,5460
5783,r300,2020 -> Total -> Saudi Arabia,S&E,Engineering,2,3420
5783,r301,2020 -> Total -> Saudi Arabia,S&E,Agricultural sciences,2,20
5783,r302,2020 -> Total -> Saudi Arabia,S&E,Biological sciences,2,310
5783,r303,2020 -> Total -> Saudi Arabia,S&E,Computer sciences,2,990
5783,r304,2020 -> Total -> Saudi Arabia,S&E,Mathematics and statistics,2,50
5783,r305,2020 -> Total -> Saudi Arabia,S&E,Physical sciences,2,240
5783,r306,2020 -> Total -> Saudi Arabia,S&E,Psychology,2,110
5783,r307,2020 -> Total -> Saudi Arabia,S&E,Social sciences,2,310
5783,r308,2020 -> Total -> Saudi Arabia,Non-S&E,,1,6160
5783,r309,2020 -> Total -> Kuwait,All fields,,1,5030
5783,r310,2020 -> Total -> Kuwait,S&E,All S&E fields,2,3910
5783,r311,2020 -> Total -> Kuwait,S&E,Engineering,2,3350
5783,r312,2020 -> Total -> Kuwait,S&E,Agricultural sciences,2,10
5783,r313,2020 -> Total -> Kuwait,S&E,Biological sciences,2,180
5783,r314,2020 -> Total -> Kuwait,S&E,Computer sciences,2,40
5783,r315,2020 -> Total -> Kuwait,S&E,Mathematics and statistics,2,30
5783,r316,2020 -> Total -> Kuwait,S&E,Physical sciences,2,80
5783,r317,2020 -> Total -> Kuwait,S&E,Psychology,2,50
5783,r318,2020 -> Total -> Kuwait,S&E,Social sciences,2,160
5783,r319,2020 -> Total -> Kuwait,Non-S&E,,1,1120
5783,r320,2020 -> Total -> Nepal,All fields,,1,5960
5783,r321,2020 -> Total -> Nepal,S&E,All S&E fields,2,3870
5783,r322,2020 -> Total -> Nepal,S&E,Engineering,2,820
5783,r323,2020 -> Total -> Nepal,S&E,Agricultural sciences,2,30
5783,r324,2020 -> Total -> Nepal,S&E,Biological sciences,2,340
5783,r325,2020 -> Total -> Nepal,S&E,Computer sciences,2,2210
5783,r326,2020 -> Total -> Nepal,S&E,Mathematics and statistics,2,110
5783,r327,2020 -> Total -> Nepal,S&E,Physical sciences,2,110
5783,r328,2020 -> Total -> Nepal,S&E,Psychology,2,90
5783,r329,2020 -> Total -> Nepal,S&E,Social sciences,2,160
5783,r330,2020 -> Total -> Nepal,Non-S&E,,1,2090
5783,r331,2020 -> Total -> Canada,All fields,,1,11890
5783,r332,2020 -> Total -> Canada,S&E,All S&E fields,2,3630
5783,r333,2020 -> Total -> Canada,S&E,Engineering,2,750
5783,r334,2020 -> Total -> Canada,S&E,Agricultural sciences,2,110
5783,r335,2020 -> Total -> Canada,S&E,Biological sciences,2,870
5783,r336,2020 -> Total -> Canada,S&E,Computer sciences,2,470
5783,r337,2020 -> Total -> Canada,S&E,Mathematics and statistics,2,160
5783,r338,2020 -> Total -> Canada,S&E,Physical sciences,2,150
5783,r339,2020 -> Total -> Canada,S&E,Psychology,2,390
5783,r340,2020 -> Total -> Canada,S&E,Social sciences,2,740
5783,r341,2020 -> Total -> Canada,Non-S&E,,1,8260
5783,r342,2020 -> Total -> Nigeria,All fields,,1,4930
5783,r343,2020 -> Total -> Nigeria,S&E,All S&E fields,2,2380
5783,r344,2020 -> Total -> Nigeria,S&E,Engineering,2,840
5783,r345,2020 -> Total -> Nigeria,S&E,Agricultural sciences,2,10
5783,r346,2020 -> Total -> Nigeria,S&E,Biological sciences,2,500
5783,r347,2020 -> Total -> Nigeria,S&E,Computer sciences,2,680
5783,r348,2020 -> Total -> Nigeria,S&E,Mathematics and statistics,2,30
5783,r349,2020 -> Total -> Nigeria,S&E,Physical sciences,2,50
5783,r350,2020 -> Total -> Nigeria,S&E,Psychology,2,80
5783,r351,2020 -> Total -> Nigeria,S&E,Social sciences,2,200
5783,r352,2020 -> Total -> Nigeria,Non-S&E,,1,2550
5783,r353,2020 -> Total -> Brazil,All fields,,1,7910
5783,r354,2020 -> Total -> Brazil,S&E,All S&E fields,2,2250
5783,r355,2020 -> Total -> Brazil,S&E,Engineering,2,650
5783,r356,2020 -> Total -> Brazil,S&E,Agricultural sciences,2,30
5783,r357,2020 -> Total -> Brazil,S&E,Biological sciences,2,270
5783,r358,2020 -> Total -> Brazil,S&E,Computer sciences,2,470
5783,r359,2020 -> Total -> Brazil,S&E,Mathematics and statistics,2,50
5783,r360,2020 -> Total -> Brazil,S&E,Physical sciences,2,70
5783,r361,2020 -> Total -> Brazil,S&E,Psychology,2,280
5783,r362,2020 -> Total -> Brazil,S&E,Social sciences,2,440
5783,r363,2020 -> Total -> Brazil,Non-S&E,,1,5660
5783,r364,2020 -> Total -> Taiwan,All fields,,1,4990
5783,r365,2020 -> Total -> Taiwan,S&E,All S&E fields,2,1870
5783,r366,2020 -> Total -> Taiwan,S&E,Engineering,2,430
5783,r367,2020 -> Total -> Taiwan,S&E,Agricultural sciences,2,40
5783,r368,2020 -> Total -> Taiwan,S&E,Biological sciences,2,250
5783,r369,2020 -> Total -> Taiwan,S&E,Computer sciences,2,480
5783,r370,2020 -> Total -> Taiwan,S&E,Mathematics and statistics,2,120
5783,r371,2020 -> Total -> Taiwan,S&E,Physical sciences,2,80
5783,r372,2020 -> Total -> Taiwan,S&E,Psychology,2,160
5783,r373,2020 -> Total -> Taiwan,S&E,Social sciences,2,300
5783,r374,2020 -> Total -> Taiwan,Non-S&E,,1,3120
5783,r375,2020 -> Total -> Mexico,All fields,,1,4920
5783,r376,2020 -> Total -> Mexico,S&E,All S&E fields,2,1790
5783,r377,2020 -> Total -> Mexico,S&E,Engineering,2,770
5783,r378,2020 -> Total -> Mexico,S&E,Agricultural sciences,2,40
5783,r379,2020 -> Total -> Mexico,S&E,Biological sciences,2,210
5783,r380,2020 -> Total -> Mexico,S&E,Computer sciences,2,270
5783,r381,2020 -> Total -> Mexico,S&E,Mathematics and statistics,2,50
5783,r382,2020 -> Total -> Mexico,S&E,Physical sciences,2,80
5783,r383,2020 -> Total -> Mexico,S&E,Psychology,2,130
5783,r384,2020 -> Total -> Mexico,S&E,Social sciences,2,250
5783,r385,2020 -> Total -> Mexico,Non-S&E,,1,3130
5783,r386,2020 -> Total -> Japan,All fields,,1,6510
5783,r387,2020 -> Total -> Japan,S&E,All S&E fields,2,1770
5783,r388,2020 -> Total -> Japan,S&E,Engineering,2,210
5783,r389,2020 -> Total -> Japan,S&E,Agricultural sciences,2,50
5783,r390,2020 -> Total -> Japan,S&E,Biological sciences,2,190
5783,r391,2020 -> Total -> Japan,S&E,Computer sciences,2,370
5783,r392,2020 -> Total -> Japan,S&E,Mathematics and statistics,2,80
5783,r393,2020 -> Total -> Japan,S&E,Physical sciences,2,80
