table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
11314,r272,2020,Total,Experimental development,Amount,3,9369
11314,r273,2020,Total,Experimental development,Percent,3,39.8
11314,r274,2020,Federally financed,All R&D expenditures,,2,23134
11314,r275,2020,Federally financed,Basic research,Amount,3,4637
11314,r276,2020,Federally financed,Basic research,Percent,3,20.0
11314,r277,2020,Federally financed,Applied research,Amount,3,9257
11314,r278,2020,Federally financed,Applied research,Percent,3,40.0
11314,r279,2020,Federally financed,Experimental development,Amount,3,9239
11314,r280,2020,Federally financed,Experimental development,Percent,3,39.9
11314,r281,2021,Total,All R&D expenditures,,2,24921
11314,r282,2021,Total,Basic research,Amount,3,5021
11314,r283,2021,Total,Basic research,Percent,3,20.1
11314,r284,2021,Total,Applied research,Amount,3,9951
11314,r285,2021,Total,Applied research,Percent,3,39.9
11314,r286,2021,Total,Experimental development,Amount,3,9949
11314,r287,2021,Total,Experimental development,Percent,3,39.9
11314,r288,2021,Federally financed,All R&D expenditures,,2,24510
11314,r289,2021,Federally financed,Basic research,Amount,3,4945
11314,r290,2021,Federally financed,Basic research,Percent,3,20.2
11314,r291,2021,Federally financed,Applied research,Amount,3,9765
11314,r292,2021,Federally financed,Applied research,Percent,3,39.8
11314,r293,2021,Federally financed,Experimental development,Amount,3,9799
11314,r294,2021,Federally financed,Experimental development,Percent,3,40.0
11314,r295,2022,Total,All R&D expenditures,,2,26007
11314,r296,2022,Total,Basic research,Amount,3,5232
11314,r297,2022,Total,Basic research,Percent,3,20.1
11314,r298,2022,Total,Applied research,Amount,3,10369
11314,r299,2022,Total,Applied research,Percent,3,39.9
11314,r300,2022,Total,Experimental development,Amount,3,10407
11314,r301,2022,Total,Experimental development,Percent,3,40.0
11314,r302,2022,Federally financed,All R&D expenditures,,2,25605
11314,r303,2022,Federally financed,Basic research,Amount,3,5159
11314,r304,2022,Federally financed,Basic research,Percent,3,20.1
11314,r305,2022,Federally financed,Applied research,Amount,3,10185
11314,r306,2022,Federally financed,Applied research,Percent,3,39.8
11314,r307,2022,Federally financed,Experimental development,Amount,3,10261
11314,r308,2022,Federally financed,Experimental development,Percent,3,40.1
11314,r309,2023,Total,All R&D expenditures,,2,29317
11314,r310,2023,Total,Basic research,Amount,3,5856
11314,r311,2023,Total,Basic research,Percent,3,20.0
11314,r312,2023,Total,Applied research,Amount,3,11922
11314,r313,2023,Total,Applied research,Percent,3,40.7
11314,r314,2023,Total,Experimental development,Amount,3,11539
11314,r315,2023,Total,Experimental development,Percent,3,39.4
11314,r316,2023,Federally financed,All R&D expenditures,,2,28880
11314,r317,2023,Federally financed,Basic research,Amount,3,5771
11314,r318,2023,Federally financed,Basic research,Percent,3,20.0
11314,r319,2023,Federally financed,Applied research,Amount,3,11715
11314,r320,2023,Federally financed,Applied research,Percent,3,40.6
11314,r321,2023,Federally financed,Experimental development,Amount,3,11394
11314,r322,2023,Federally financed,Experimental development,Percent,3,39.5
