table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_level_4,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
11708,r118,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. California, San Diego",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. California, San Diego",4,2,39,16,23
11708,r119,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Texas, Austin",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Texas, Austin",4,3,31,14,17
11708,r120,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Washington, Seattle",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Washington, Seattle",4,4,28,12,16
11708,r121,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Massachusetts Institute of Technology",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Massachusetts Institute of Technology,4,5,27,12,15
11708,r122,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Colorado Boulder",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Colorado Boulder,4,6,23,11,12
11708,r123,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Arizona",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Arizona,4,7,21,9,12
11708,r124,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Colorado School of Mines",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Colorado School of Mines,4,8,19,13,6
11708,r125,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Colorado State U., Fort Collins",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"Colorado State U., Fort Collins",4,8,19,7,12
11708,r126,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. California, Los Angeles",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. California, Los Angeles",4,8,19,13,6
11708,r127,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Michigan, Ann Arbor",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Michigan, Ann Arbor",4,8,19,8,11
11708,r128,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Columbia U. in the City of New York",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Columbia U. in the City of New York,4,12,18,14,4
11708,r129,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Stanford U.",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Stanford U.,4,12,18,10,8
11708,r130,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Houston",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Houston,4,12,18,12,6
11708,r131,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Stony Brook U.",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Stony Brook U.,4,15,17,9,8
11708,r132,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Utah",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Utah,4,15,17,12,4
11708,r133,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> Pennsylvania State U.",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,Pennsylvania State U.,4,17,16,11,5
11708,r134,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Southern California",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,U. Southern California,4,17,16,8,8
11708,r135,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. California, Berkeley",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. California, Berkeley",4,19,15,7,8
11708,r136,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. California, Santa Cruz",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. California, Santa Cruz",4,19,15,9,6
11708,r137,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Hawaii, Manoa",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Hawaii, Manoa",4,19,15,5,10
11708,r138,"Science and engineering ->  Geosciences, atmospheric, and ocean sciences -> From top 20 institutions -> U. Maryland, College Park",Science and engineering," Geosciences, atmospheric, and ocean sciences",From top 20 institutions,"U. Maryland, College Park",4,19,15,6,9
11708,r139,Science and engineering ->  Health sciences,Science and engineering, Health sciences,,,2,-,2746,789,1957
11708,r140,Science and engineering ->  Health sciences -> From top 20 institutions,Science and engineering, Health sciences,From top 20 institutions,,3,-,921,281,640
11708,r141,Science and engineering ->  Health sciences -> From top 20 institutions -> Walden U.,Science and engineering, Health sciences,From top 20 institutions,Walden U.,4,1,130,26,104
11708,r142,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Washington, Seattle",Science and engineering, Health sciences,From top 20 institutions,"U. Washington, Seattle",4,2,64,18,46
11708,r143,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. North Carolina, Chapel Hill",Science and engineering, Health sciences,From top 20 institutions,"U. North Carolina, Chapel Hill",4,3,57,14,43
11708,r144,Science and engineering ->  Health sciences -> From top 20 institutions -> U. Florida,Science and engineering, Health sciences,From top 20 institutions,U. Florida,4,4,51,14,37
11708,r145,Science and engineering ->  Health sciences -> From top 20 institutions -> Johns Hopkins U.,Science and engineering, Health sciences,From top 20 institutions,Johns Hopkins U.,4,5,50,10,40
11708,r146,Science and engineering ->  Health sciences -> From top 20 institutions -> Texas Woman's U.,Science and engineering, Health sciences,From top 20 institutions,Texas Woman's U.,4,6,48,4,44
