table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008c,field_2009d,field_2010d,field_2011,field_2012,field_2013,field_2014,field_2015
802,r074,All business activities -> Software publishers (except Internet)<sup>g</sup>,All business activities,Software publishers (except Internet)<sup>g</sup>,2,51120,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['22,635', '&nbsp;']","['23,803', '&nbsp;']","['26,661', '&nbsp;']","['31,392', '&nbsp;']","['29,885', 'i']"
802,r075,All business activities -> Motion picture and sound recording (except Internet),All business activities,Motion picture and sound recording (except Internet),2,51200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['61', '&nbsp;']","['73', 'i']","['86', '&nbsp;']","['71', 'i']","['10', '&nbsp;']"
802,r076,All business activities -> Broadcasting (except Internet),All business activities,Broadcasting (except Internet),2,51500,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['94', '&nbsp;']","['36', '&nbsp;']","['53', '&nbsp;']","['70', 'i']","['35', '&nbsp;']"
802,r077,All business activities -> Wired telecommunications carriers,All business activities,Wired telecommunications carriers,2,51710,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['867', '&nbsp;']","['1,482', 'i']","['951', 'i']","['945', 'i']","['623', '&nbsp;']"
802,r078,All business activities -> Wireless telecommunications carriers (except satellite),All business activities,Wireless telecommunications carriers (except satellite),2,51720,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['391', 'i']","['739', 'i']","['1,768', 'i']","['2,481', '&nbsp;']","['2,019', '&nbsp;']"
802,r079,All business activities -> Satellite telecommunications,All business activities,Satellite telecommunications,2,51740,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['195', '&nbsp;']","['106', '&nbsp;']","['107', '&nbsp;']","['552', '&nbsp;']"
802,r080,All business activities -> Other telecommunications (not listed elsewhere),All business activities,Other telecommunications (not listed elsewhere),2,51790,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['495', '&nbsp;']","['383', '&nbsp;']","['322', '&nbsp;']","['255', '&nbsp;']","['416', '&nbsp;']"
802,r081,"All business activities -> Data processing, hosting, and related services<sup>g</sup>",All business activities,"Data processing, hosting, and related services<sup>g</sup>",2,51800,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['4,922', '&nbsp;']","['3,997', '&nbsp;']","['4,009', '&nbsp;']","['4,754', '&nbsp;']","['5,898', '&nbsp;']"
802,r082,All business activities -> Cloud computing applications and Internet-based software services,All business activities,Cloud computing applications and Internet-based software services,2,51801,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,727', 'i']","['5,718', '&nbsp;']","['5,786', '&nbsp;']"
802,r083,"All business activities -> Other information services, including Internet publishing, broadcasting, and Web search portals<sup>g</sup>",All business activities,"Other information services, including Internet publishing, broadcasting, and Web search portals<sup>g</sup>",2,51910,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['11,397', '&nbsp;']","['13,485', '&nbsp;']","['15,306', '&nbsp;']","['21,531', '&nbsp;']"
