table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_institutions_number_all_s_e_graduate_students,field_all_institutions_number_female,field_all_institutions_number_male,field_hbcus_number_all_s_e_graduate_students,field_hbcus_number_female,field_hbcus_number_male,field_hbcus_all_s_e_graduate_students,field_hbcus_female,field_hbcus_male
3239,r076,All S&E graduate students -> All S&E doctoral students -> Engineering -> Chemical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Chemical engineering,4,127,47,80,3,1,2,2.36,2.13,2.5
3239,r077,All S&E graduate students -> All S&E doctoral students -> Engineering -> Civil engineering,All S&E graduate students,All S&E doctoral students,Engineering,Civil engineering,4,138,57,81,8,5,3,5.8,8.77,3.7
3239,r078,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Electrical, electronics, and communications engineering",4,295,62,233,59,15,44,20.0,24.19,18.88
3239,r079,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E doctoral students,Engineering,"Engineering mechanics, physics, and science",4,27,8,19,0,0,0,0.0,0.0,0.0
3239,r080,All S&E graduate students -> All S&E doctoral students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E doctoral students,Engineering,Industrial and manufacturing engineering,4,120,53,67,22,11,11,18.33,20.75,16.42
3239,r081,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mechanical engineering,4,186,56,130,14,4,10,7.53,7.14,7.69
3239,r082,All S&E graduate students -> All S&E doctoral students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E doctoral students,Engineering,Metallurgical and materials engineering,4,87,35,52,0,0,0,0.0,0.0,0.0
3239,r083,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mining engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mining engineering,4,3,1,2,0,0,0,0.0,0.0,0.0
3239,r084,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E doctoral students,Engineering,Nanotechnology,4,0,0,0,0,0,0,0.0,0.0,0.0
3239,r085,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E doctoral students,Engineering,Nuclear engineering,4,15,8,7,0,0,0,0.0,0.0,0.0
3239,r086,All S&E graduate students -> All S&E doctoral students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E doctoral students,Engineering,Petroleum engineering,4,13,4,9,0,0,0,0.0,0.0,0.0
3239,r087,All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering nec,All S&E graduate students,All S&E doctoral students,Engineering,Engineering nec,4,124,57,67,20,10,10,16.13,17.54,14.93
