table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1395,r099,"All business activities -> Professional, scientific, and technical services (not listed elsewhere)",All business activities,"Professional, scientific, and technical services (not listed elsewhere)",2,54190,"['885', '  ']","['558', '  ']","['326', '&nbsp;']"
1395,r100,All business activities -> Management of companies and enterprises,All business activities,Management of companies and enterprises,2,55100,"['28', '  ']","['19', '  ']","['10', '&nbsp;']"
1395,r101,All business activities -> Administrative and support services,All business activities,Administrative and support services,2,56100,"['419', '  ']","['416', '  ']","['2', 'i']"
1395,r102,All business activities -> Waste management and remediation services,All business activities,Waste management and remediation services,2,56200,"['25', '  ']","['8', 'i ']","['17', '&nbsp;']"
1395,r103,All business activities -> Offices of physicians,All business activities,Offices of physicians,2,62110,"['106', 'i ']","['70', 'i ']","['36', 'i']"
1395,r104,All business activities -> Medical and diagnostic laboratories,All business activities,Medical and diagnostic laboratories,2,62150,"['1,280', 'i ']","['729', '  ']","['550', 'i']"
1395,r105,"All business activities -> Other ambulatory health care services (ambulance, dental, home health care)",All business activities,"Other ambulatory health care services (ambulance, dental, home health care)",2,62199,"['23', 'i ']","['19', 'i ']","['4', 'i']"
1395,r106,All business activities -> Hospitals and nursing care facilities,All business activities,Hospitals and nursing care facilities,2,62200,"['9', '  ']","['6', 'i ']","['3', '&nbsp;']"
1395,r107,All business activities -> Social assistance services,All business activities,Social assistance services,2,62400,"['2', '  ']","['2', '  ']","['0', '&nbsp;']"
1395,r108,"All business activities -> Arts, entertainment, and recreation",All business activities,"Arts, entertainment, and recreation",2,71000,"['44', '  ']","['44', '  ']","['0', '&nbsp;']"
1395,r109,All business activities -> Accommodation and food services,All business activities,Accommodation and food services,2,72000,"['61', '  ']","['61', '  ']","['0', '&nbsp;']"
1395,r110,All business activities -> Other services (not listed elsewhere),All business activities,Other services (not listed elsewhere),2,81000,"['D', '  ']","['D', '  ']","['D', '&nbsp;']"
1395,r111,All business activities -> Undistributed,All business activities,Undistributed,2,–,"['0', '  ']","['0', '  ']","['0', '&nbsp;']"
