table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_r_d_performersa_all,field_r_d_performersa_intramural,field_r_d_performersa_extramural,field_r_d_plant
2465,r358,United States<sup>b</sup> -> Texas -> Cancer Prevention and Research Institute,United States<sup>b</sup>,Texas,Cancer Prevention and Research Institute,3,201159271,0,201159271,0
2465,r359,"United States<sup>b</sup> -> Texas -> Environmental Quality, Commission on",United States<sup>b</sup>,Texas,"Environmental Quality, Commission on",3,1687165,96160,1591005,0
2465,r360,United States<sup>b</sup> -> Texas -> Parks and Wildlife Department,United States<sup>b</sup>,Texas,Parks and Wildlife Department,3,7378821,3534695,3844126,0
2465,r361,"United States<sup>b</sup> -> Texas -> State Health Services, Department of ",United States<sup>b</sup>,Texas,"State Health Services, Department of ",3,345000,225000,120000,25
2465,r362,"United States<sup>b</sup> -> Texas -> Transportation, Department of",United States<sup>b</sup>,Texas,"Transportation, Department of",3,17294677,0,17294677,0
2465,r363,United States<sup>b</sup> -> Texas -> Water Development Board,United States<sup>b</sup>,Texas,Water Development Board,3,731890,0,731890,0
2465,r364,United States<sup>b</sup> -> Utah,United States<sup>b</sup>,Utah,,2,7985508,5046202,2939306,1000
2465,r365,"United States<sup>b</sup> -> Utah -> Environmental Quality, Department of",United States<sup>b</sup>,Utah,"Environmental Quality, Department of",3,416398,19514,396884,0
2465,r366,"United States<sup>b</sup> -> Utah -> Health, Department of",United States<sup>b</sup>,Utah,"Health, Department of",3,12780,12780,0,0
2465,r367,"United States<sup>b</sup> -> Utah -> Natural Resources, Department of",United States<sup>b</sup>,Utah,"Natural Resources, Department of",3,4121261,4121261,0,0
2465,r368,"United States<sup>b</sup> -> Utah -> Transportation, Department of ",United States<sup>b</sup>,Utah,"Transportation, Department of ",3,3435069,892647,2542422,1000
2465,r369,United States<sup>b</sup> -> Vermont,United States<sup>b</sup>,Vermont,,2,2730591,681380,2049211,47661
2465,r370,"United States<sup>b</sup> -> Vermont -> Agriculture, Food, and Markets, Agency of",United States<sup>b</sup>,Vermont,"Agriculture, Food, and Markets, Agency of",3,308227,0,308227,0
2465,r371,"United States<sup>b</sup> -> Vermont -> Human Services, Agency of",United States<sup>b</sup>,Vermont,"Human Services, Agency of",3,210747,210747,0,0
2465,r372,"United States<sup>b</sup> -> Vermont -> Transportation, Agency of",United States<sup>b</sup>,Vermont,"Transportation, Agency of",3,2211617,470633,1740984,47661
2465,r373,United States<sup>b</sup> -> Virginia,United States<sup>b</sup>,Virginia,,2,29951353,10733680,19217673,301107
2465,r374,"United States<sup>b</sup> -> Virginia -> Aging and Rehabilitation, Department of",United States<sup>b</sup>,Virginia,"Aging and Rehabilitation, Department of",3,134914,52951,81963,0
2465,r375,"United States<sup>b</sup> -> Virginia -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Virginia,"Agriculture and Consumer Services, Department of",3,2615452,0,2615452,0
2465,r376,United States<sup>b</sup> -> Virginia -> Commonwealth Health Research Board,United States<sup>b</sup>,Virginia,Commonwealth Health Research Board,3,1080163,0,1080163,0
2465,r377,"United States<sup>b</sup> -> Virginia -> Environmental Quality, Department of",United States<sup>b</sup>,Virginia,"Environmental Quality, Department of",3,287560,21842,265718,0
2465,r378,"United States<sup>b</sup> -> Virginia -> Forensic Science, Department of",United States<sup>b</sup>,Virginia,"Forensic Science, Department of",3,854800,854800,0,0
2465,r379,"United States<sup>b</sup> -> Virginia -> Forestry, Department of",United States<sup>b</sup>,Virginia,"Forestry, Department of",3,467501,437362,30139,0
2465,r380,United States<sup>b</sup> -> Virginia -> Foundation for Healthy Youth,United States<sup>b</sup>,Virginia,Foundation for Healthy Youth,3,858392,0,858392,0
2465,r381,"United States<sup>b</sup> -> Virginia -> Game and Inland Fisheries, Department of",United States<sup>b</sup>,Virginia,"Game and Inland Fisheries, Department of",3,2296869,0,2296869,0
2465,r382,"United States<sup>b</sup> -> Virginia -> Innovative Technology, Center for",United States<sup>b</sup>,Virginia,"Innovative Technology, Center for",3,4416750,634826,3781924,0
2465,r383,United States<sup>b</sup> -> Virginia -> Marine Resources Commission,United States<sup>b</sup>,Virginia,Marine Resources Commission,3,2471043,0,2471043,0
2465,r384,"United States<sup>b</sup> -> Virginia -> Mines, Minerals and Energy, Department of",United States<sup>b</sup>,Virginia,"Mines, Minerals and Energy, Department of",3,655308,617808,37500,0
2465,r385,"United States<sup>b</sup> -> Virginia -> Natural History, Museum of",United States<sup>b</sup>,Virginia,"Natural History, Museum of",3,872668,872668,0,0
2465,r386,"United States<sup>b</sup> -> Virginia -> Social Services, Department of",United States<sup>b</sup>,Virginia,"Social Services, Department of",3,150000,0,150000,0
2465,r387,"United States<sup>b</sup> -> Virginia -> Transportation, Department of",United States<sup>b</sup>,Virginia,"Transportation, Department of",3,12789933,7241423,5548510,301107
2465,r388,United States<sup>b</sup> -> Washington,United States<sup>b</sup>,Washington,,2,51963060,19986935,31976125,1400174
2465,r389,"United States<sup>b</sup> -> Washington -> Agriculture, Department of",United States<sup>b</sup>,Washington,"Agriculture, Department of",3,2767808,0,2767808,0
2465,r390,United States<sup>b</sup> -> Washington -> Alfalfa Seed Commission,United States<sup>b</sup>,Washington,Alfalfa Seed Commission,3,34000,0,34000,0
2465,r391,United States<sup>b</sup> -> Washington -> Asparagus Commission,United States<sup>b</sup>,Washington,Asparagus Commission,3,74166,0,74166,0
2465,r392,United States<sup>b</sup> -> Washington -> Blueberry Commission,United States<sup>b</sup>,Washington,Blueberry Commission,3,252000,0,252000,0
2465,r393,"United States<sup>b</sup> -> Washington -> Commerce, Department of",United States<sup>b</sup>,Washington,"Commerce, Department of",3,5826443,0,5826443,124874
2465,r394,United States<sup>b</sup> -> Washington -> Cranberry Commission,United States<sup>b</sup>,Washington,Cranberry Commission,3,6000,0,6000,0
2465,r395,United States<sup>b</sup> -> Washington -> Dairy Products Commission,United States<sup>b</sup>,Washington,Dairy Products Commission,3,15000,0,15000,0
2465,r396,"United States<sup>b</sup> -> Washington -> Ecology, Department of",United States<sup>b</sup>,Washington,"Ecology, Department of",3,882120,612918,269202,0
2465,r397,"United States<sup>b</sup> -> Washington -> Fish and Wildlife, Department of",United States<sup>b</sup>,Washington,"Fish and Wildlife, Department of",3,8390579,8375177,15402,0
2465,r398,United States<sup>b</sup> -> Washington -> Fruit Commission,United States<sup>b</sup>,Washington,Fruit Commission,3,306223,0,306223,0
2465,r399,United States<sup>b</sup> -> Washington -> Grain Commission,United States<sup>b</sup>,Washington,Grain Commission,3,2224046,0,2224046,0
2465,r400,"United States<sup>b</sup> -> Washington -> Health, Department of",United States<sup>b</sup>,Washington,"Health, Department of",3,1108855,1053412,55443,0
2465,r401,United States<sup>b</sup> -> Washington -> Hop Commission,United States<sup>b</sup>,Washington,Hop Commission,3,168357,0,168357,0
2465,r402,"United States<sup>b</sup> -> Washington -> Labor and Industries, Department of",United States<sup>b</sup>,Washington,"Labor and Industries, Department of",3,3344321,3344321,0,0
2465,r403,United States<sup>b</sup> -> Washington -> Mint Commission,United States<sup>b</sup>,Washington,Mint Commission,3,50382,0,50382,0
2465,r404,"United States<sup>b</sup> -> Washington -> Natural Resources, Department of",United States<sup>b</sup>,Washington,"Natural Resources, Department of",3,8307815,3584826,4722989,0
2465,r405,United States<sup>b</sup> -> Washington -> Oilseeds Commission,United States<sup>b</sup>,Washington,Oilseeds Commission,3,10000,0,10000,0
2465,r406,"United States<sup>b</sup> -> Washington -> Pesticide Registration, Commission on",United States<sup>b</sup>,Washington,"Pesticide Registration, Commission on",3,455000,0,455000,0
2465,r407,United States<sup>b</sup> -> Washington -> Potato Commission,United States<sup>b</sup>,Washington,Potato Commission,3,953022,0,953022,0
2465,r408,United States<sup>b</sup> -> Washington -> Puget Sound Partnership,United States<sup>b</sup>,Washington,Puget Sound Partnership,3,630045,0,630045,0
2465,r409,United States<sup>b</sup> -> Washington -> Pulse Crop Commission,United States<sup>b</sup>,Washington,Pulse Crop Commission,3,187098,0,187098,0
2465,r410,United States<sup>b</sup> -> Washington -> Red Raspberry Commission,United States<sup>b</sup>,Washington,Red Raspberry Commission,3,349396,0,349396,0
2465,r411,United States<sup>b</sup> -> Washington -> Seed Potato Commission,United States<sup>b</sup>,Washington,Seed Potato Commission,3,16003,0,16003,0
2465,r412,"United States<sup>b</sup> -> Washington -> Transportation, Department of",United States<sup>b</sup>,Washington,"Transportation, Department of",3,5596000,1410000,4186000,0
2465,r413,United States<sup>b</sup> -> Washington -> Tree Fruit Research Commission,United States<sup>b</sup>,Washington,Tree Fruit Research Commission,3,9668382,1606281,8062101,0
2465,r414,United States<sup>b</sup> -> Washington -> Turfgrass Seed Commission,United States<sup>b</sup>,Washington,Turfgrass Seed Commission,3,100815,0,100815,0
2465,r415,United States<sup>b</sup> -> Washington -> Wine Commission,United States<sup>b</sup>,Washington,Wine Commission,3,239184,0,239184,1275300
2465,r416,United States<sup>b</sup> -> West Virginia,United States<sup>b</sup>,West Virginia,,2,11068061,2867846,8200215,0
2465,r417,United States<sup>b</sup> -> West Virginia -> Geological and Economic Survey,United States<sup>b</sup>,West Virginia,Geological and Economic Survey,3,1713935,1316725,397210,0
2465,r418,United States<sup>b</sup> -> West Virginia -> Higher Education Policy Commission,United States<sup>b</sup>,West Virginia,Higher Education Policy Commission,3,5571715,153833,5417882,0
2465,r419,"United States<sup>b</sup> -> West Virginia -> Justice and Community Services, Division of",United States<sup>b</sup>,West Virginia,"Justice and Community Services, Division of",3,8000,8000,0,0
2465,r420,"United States<sup>b</sup> -> West Virginia -> Natural Resources, Department of",United States<sup>b</sup>,West Virginia,"Natural Resources, Department of",3,1649700,1284700,365000,0
2465,r421,"United States<sup>b</sup> -> West Virginia -> Transportation, Department of",United States<sup>b</sup>,West Virginia,"Transportation, Department of",3,2124711,104588,2020123,0
2465,r422,United States<sup>b</sup> -> Wisconsin,United States<sup>b</sup>,Wisconsin,,2,17473890,5043609,12430281,0
2465,r423,"United States<sup>b</sup> -> Wisconsin -> Agriculture, Trade and Consumer Protection, Department of",United States<sup>b</sup>,Wisconsin,"Agriculture, Trade and Consumer Protection, Department of",3,2768097,0,2768097,0
2465,r424,United States<sup>b</sup> -> Wisconsin -> Economic Development Corporation,United States<sup>b</sup>,Wisconsin,Economic Development Corporation,3,4750000,0,4750000,0
2465,r425,"United States<sup>b</sup> -> Wisconsin -> Natural Resources, Department of",United States<sup>b</sup>,Wisconsin,"Natural Resources, Department of",3,6201148,4781539,1419609,0
2465,r426,"United States<sup>b</sup> -> Wisconsin -> Transportation, Department of",United States<sup>b</sup>,Wisconsin,"Transportation, Department of",3,3754645,262070,3492575,0
2465,r427,United States<sup>b</sup> -> Wyoming,United States<sup>b</sup>,Wyoming,,2,6002910,1286491,4716419,0
2465,r428,"United States<sup>b</sup> -> Wyoming -> Agriculture, Department of",United States<sup>b</sup>,Wyoming,"Agriculture, Department of",3,380882,0,380882,0
2465,r429,United States<sup>b</sup> -> Wyoming -> Business Council,United States<sup>b</sup>,Wyoming,Business Council,3,2466307,0,2466307,0
2465,r430,United States<sup>b</sup> -> Wyoming -> Enterprise Technology Services ,United States<sup>b</sup>,Wyoming,Enterprise Technology Services ,3,41420,41420,0,0
2465,r431,United States<sup>b</sup> -> Wyoming -> Game and Fish Department,United States<sup>b</sup>,Wyoming,Game and Fish Department,3,1110856,977107,133749,0
2465,r432,"United States<sup>b</sup> -> Wyoming -> State Engineer, Office of",United States<sup>b</sup>,Wyoming,"State Engineer, Office of",3,250000,0,250000,0
2465,r433,United States<sup>b</sup> -> Wyoming -> State Geological Survey,United States<sup>b</sup>,Wyoming,State Geological Survey,3,183963,183963,0,0
2465,r434,"United States<sup>b</sup> -> Wyoming -> Transportation, Department of",United States<sup>b</sup>,Wyoming,"Transportation, Department of",3,1218971,84001,1134970,0
2465,r435,United States<sup>b</sup> -> Wyoming -> Water Development Office,United States<sup>b</sup>,Wyoming,Water Development Office,3,350511,0,350511,0
