table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_fte_r_d_employeesa_total,field_fte_r_d_employeesa_full_time_r_d_employees,field_fte_r_d_employeesa_full_time_employees_working_on_r_d_part_time,field_fte_r_d_employeesa_part_time_employees_working_on_r_d,field_fte_r_d_scientists_and_engineersb_total,field_fte_r_d_scientists_and_engineersb_full_time_r_d_employees,field_fte_r_d_scientists_and_engineersb_full_time_employees_working_on_r_d_part_time,field_fte_r_d_scientists_and_engineersb_part_time_employees_working_on_r_d
6533,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['41', 'i']","['27', 'i']","['13', 'i']","['*', 'i']","['19', 'i']","['13', 'i']","['6', 'i']","['*', '']"
6533,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['11', '']","['10', '']","['1', '']","['*', '']","['8', '']","['8', '']","['*', '']","['*', '']"
6533,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['15 - 40', '']","['12', '']","['2 - 28', '']","['*', '']","['3 - 40', '']","['3 - 13', 'i']","['0 - 28', '']","['*', '']"
6533,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['1,677', '']","['1,384', '']","['277', '']","['17', '']","['1,147', '']","['989', '']","['150', '']","['8', '']"
6533,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6533,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['32', '']","['25', '']","['7', '']","['1', '']","['23', '']","['20', '']","['3', '']","['*', '']"
6533,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['70', '']","['52', '']","['16', '']","['2', '']","['44', '']","['35', '']","['8', '']","['1', '']"
6533,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6533,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['73', '']","['51', '']","['21', '']","['1', '']","['41', '']","['33', '']","['8', '']","['*', '']"
6533,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['104', '']","['73', '']","['30', '']","['2', '']","['64', '']","['50', '']","['13', '']","['1', '']"
6533,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6533,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['87', '']","['65', '']","['21', '']","['1', '']","['54', '']","['45', '']","['9', '']","['1', '']"
6533,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['87', '']","['72', '']","['14', '']","['1', '']","['53', '']","['48', '']","['5', '']","['*', '']"
6533,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['271', '']","['233', '']","['35', '']","['3', '']","['194', '']","['172', '']","['20', '']","['1', 'i']"
6533,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['170', '']","['147', '']","['22', '']","['1', 'i']","['110', '']","['98', '']","['12', 'i']","['*', 'i']"
6533,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['255', '']","['229', '']","['24', '']","['2', '']","['169', '']","['153', '']","['15', '']","['1', 'i']"
6533,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['527', '']","['438', '']","['86', '']","['3', '']","['393', '']","['336', '']","['56', '']","['2', '']"
