table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramural_federal_agenciesa,field_intramural_ffrdcs,field_extramural_united_states_and_u_s_territories_businesses,field_extramural_united_states_and_u_s_territories_higher_educationb,field_extramural_united_states_and_u_s_territories_nonprofit_organizations,field_extramural_united_states_and_u_s_territories_state_and_local_governments
10289,r443,Maryland -> Departments -> Department of Transportation,Maryland,Departments,Department of Transportation,3,43169,4827,0,27214,5657,1000,4471
10289,r444,Maryland -> Departments -> Department of the Treasury,Maryland,Departments,Department of the Treasury,3,229,0.05,0,0,200,0,0
10289,r445,Maryland -> Departments -> Department of Veterans Affairs,Maryland,Departments,Department of Veterans Affairs,3,30393,30393,0,0,0,0,0
10289,r446,Maryland -> Other agencies,Maryland,Other agencies,,2,,,,,,,
10289,r447,Maryland -> Other agencies -> Agency for International Development,Maryland,Other agencies,Agency for International Development,3,5125,4800,0,0,0,325,0
10289,r448,Maryland -> Other agencies -> Consumer Product Safety Commission,Maryland,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r449,Maryland -> Other agencies -> Environmental Protection Agency,Maryland,Other agencies,Environmental Protection Agency,3,14497,0,0,10255,3130,1112,0
10289,r450,Maryland -> Other agencies -> National Aeronautics and Space Administration,Maryland,Other agencies,National Aeronautics and Space Administration,3,1474702,76515,0,897962,500226,0,0
10289,r451,Maryland -> Other agencies -> National Science Foundation,Maryland,Other agencies,National Science Foundation,3,339207,1932,0,209549,123122,4604,0
10289,r452,Maryland -> Other agencies -> Nuclear Regulatory Commission,Maryland,Other agencies,Nuclear Regulatory Commission,3,29831,28601,0,847,383,0,0
10289,r453,Maryland -> Other agencies -> Postal Service,Maryland,Other agencies,Postal Service,3,1968,0,0,1968,0,0,0
10289,r454,Maryland -> Other agencies -> Smithsonian Institution,Maryland,Other agencies,Smithsonian Institution,3,12500,12500,0,0,0,0,0
10289,r455,Maryland -> Other agencies -> Social Security Administration,Maryland,Other agencies,Social Security Administration,3,5717,0,0,5717,0,0,0
10289,r456,Massachusetts,Massachusetts,,,1,9496432,550803,1872104,2950187,2002466,2110156,10716
10289,r457,Massachusetts -> Departments,Massachusetts,Departments,,2,,,,,,,
10289,r458,Massachusetts -> Departments -> Department of Agriculture,Massachusetts,Departments,Department of Agriculture,3,35674,11840,0,766,19777,2781,510
10289,r459,Massachusetts -> Departments -> Department of Commerce,Massachusetts,Departments,Department of Commerce,3,12927,0,0,1555,9146,2221,0.05
10289,r460,Massachusetts -> Departments -> Department of Defense,Massachusetts,Departments,Department of Defense,3,4370252,185663,1870776,1891852,303109,118853,0
10289,r461,Massachusetts -> Departments -> Department of Education,Massachusetts,Departments,Department of Education,3,16533,0,0,200,5440,10618,275
10289,r462,Massachusetts -> Departments -> Department of Energy,Massachusetts,Departments,Department of Energy,3,203503,3756,0,77962,109694,9070,3021
10289,r463,Massachusetts -> Departments -> Department of Health and Human Services,Massachusetts,Departments,Department of Health and Human Services,3,3879002,0,0,863318,1094759,1917522,3403
10289,r464,Massachusetts -> Departments -> Department of Homeland Security,Massachusetts,Departments,Department of Homeland Security,3,4169,0,0,4169,0,0,0
10289,r465,Massachusetts -> Departments -> Department of the Interior,Massachusetts,Departments,Department of the Interior,3,14580,12626,0,125,1472,232,125
10289,r466,Massachusetts -> Departments -> Department of Justice,Massachusetts,Departments,Department of Justice,3,3413,0,0,1126,1287,1000,0
10289,r467,Massachusetts -> Departments -> Department of Labor,Massachusetts,Departments,Department of Labor,3,88,0.05,0,68,0,0,0
10289,r468,Massachusetts -> Departments -> Department of Transportation,Massachusetts,Departments,Department of Transportation,3,77293,57626,1327,12351,2619,0,3370
10289,r469,Massachusetts -> Departments -> Department of the Treasury,Massachusetts,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r470,Massachusetts -> Departments -> Department of Veterans Affairs,Massachusetts,Departments,Department of Veterans Affairs,3,167680,167680,0,0,0,0,0
10289,r471,Massachusetts -> Other agencies,Massachusetts,Other agencies,,2,,,,,,,
10289,r472,Massachusetts -> Other agencies -> Consumer Product Safety Commission,Massachusetts,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r473,Massachusetts -> Other agencies -> Environmental Protection Agency,Massachusetts,Other agencies,Environmental Protection Agency,3,19222,1265,0,15259,1990,707,0
10289,r474,Massachusetts -> Other agencies -> National Aeronautics and Space Administration,Massachusetts,Other agencies,National Aeronautics and Space Administration,3,191403,110325,0,41897,37795,1386,0
10289,r475,Massachusetts -> Other agencies -> National Science Foundation,Massachusetts,Other agencies,National Science Foundation,3,490701,0,0,34323,412802,43568,0.05
10289,r476,Massachusetts -> Other agencies -> Nuclear Regulatory Commission,Massachusetts,Other agencies,Nuclear Regulatory Commission,3,700,0,0,201,500,0,0
10289,r477,Massachusetts -> Other agencies -> Postal Service,Massachusetts,Other agencies,Postal Service,3,1175,0,0,1175,0,0,0
10289,r478,Massachusetts -> Other agencies -> Social Security Administration,Massachusetts,Other agencies,Social Security Administration,3,8114,0,0,3839,2075,2200,0
10289,r479,Michigan,Michigan,,,1,2070494,323683,0.05,445953,1211927,82665,6264
10289,r480,Michigan -> Departments,Michigan,Departments,,2,,,,,,,
10289,r481,Michigan -> Departments -> Department of Agriculture,Michigan,Departments,Department of Agriculture,3,23658,2297,0,769,20592,0,0
10289,r482,Michigan -> Departments -> Department of Commerce,Michigan,Departments,Department of Commerce,3,4649,318,0,0,4331,0,0
10289,r483,Michigan -> Departments -> Department of Defense,Michigan,Departments,Department of Defense,3,731517,255301,0.05,365421,89084,21709,0
10289,r484,Michigan -> Departments -> Department of Education,Michigan,Departments,Department of Education,3,4338,0,0,200,4138,0,0
10289,r485,Michigan -> Departments -> Department of Energy,Michigan,Departments,Department of Energy,3,141900,0,0,27467,114433,0,0
10289,r486,Michigan -> Departments -> Department of Health and Human Services,Michigan,Departments,Department of Health and Human Services,3,860970,211,0,33218,766108,59927,1506
10289,r487,Michigan -> Departments -> Department of Homeland Security,Michigan,Departments,Department of Homeland Security,3,388,0,0,0.05,375,0,0
10289,r488,Michigan -> Departments -> Department of the Interior,Michigan,Departments,Department of the Interior,3,10325,10272,0,0,53,0,0
10289,r489,Michigan -> Departments -> Department of Justice,Michigan,Departments,Department of Justice,3,1554,0,0,0,1554,0,0
10289,r490,Michigan -> Departments -> Department of Labor,Michigan,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r491,Michigan -> Departments -> Department of Transportation,Michigan,Departments,Department of Transportation,3,16302,0.05,0,6452,5055,0,4759
10289,r492,Michigan -> Departments -> Department of the Treasury,Michigan,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r493,Michigan -> Departments -> Department of Veterans Affairs,Michigan,Departments,Department of Veterans Affairs,3,44731,44731,0,0,0,0,0
10289,r494,Michigan -> Other agencies,Michigan,Other agencies,,2,,,,,,,
10289,r495,Michigan -> Other agencies -> Consumer Product Safety Commission,Michigan,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r496,Michigan -> Other agencies -> Environmental Protection Agency,Michigan,Other agencies,Environmental Protection Agency,3,5489,0,0,1562,2898,1030,0
10289,r497,Michigan -> Other agencies -> National Aeronautics and Space Administration,Michigan,Other agencies,National Aeronautics and Space Administration,3,35330,10512,0,5097,19721,0,0
10289,r498,Michigan -> Other agencies -> National Science Foundation,Michigan,Other agencies,National Science Foundation,3,187511,0,0,5658,181853,0,0
10289,r499,Michigan -> Other agencies -> Nuclear Regulatory Commission,Michigan,Other agencies,Nuclear Regulatory Commission,3,873,0,0,0,873,0,0
10289,r500,Michigan -> Other agencies -> Postal Service,Michigan,Other agencies,Postal Service,3,89,0,0,89,0,0,0
10289,r501,Michigan -> Other agencies -> Social Security Administration,Michigan,Other agencies,Social Security Administration,3,860,0,0,0,860,0,0
10289,r502,Minnesota,Minnesota,,,1,1144953,85358,0,215833,497754,317338,28671
10289,r503,Minnesota -> Departments,Minnesota,Departments,,2,,,,,,,
10289,r504,Minnesota -> Departments -> Department of Agriculture,Minnesota,Departments,Department of Agriculture,3,52246,21861,0,196,29794,0,396
10289,r505,Minnesota -> Departments -> Department of Commerce,Minnesota,Departments,Department of Commerce,3,1659,0,0,81,1578,0,0
10289,r506,Minnesota -> Departments -> Department of Defense,Minnesota,Departments,Department of Defense,3,226938,18871,0,140992,29822,37253,0
10289,r507,Minnesota -> Departments -> Department of Education,Minnesota,Departments,Department of Education,3,4920,0,0,0,3707,1213,0
10289,r508,Minnesota -> Departments -> Department of Energy,Minnesota,Departments,Department of Energy,3,35118,0,0,10736,24382,0,0
10289,r509,Minnesota -> Departments -> Department of Health and Human Services,Minnesota,Departments,Department of Health and Human Services,3,684210,0,0,52468,335100,276181,20461
10289,r510,Minnesota -> Departments -> Department of the Interior,Minnesota,Departments,Department of the Interior,3,9677,5492,0,0,3925,0,259
10289,r511,Minnesota -> Departments -> Department of Labor,Minnesota,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r512,Minnesota -> Departments -> Department of Transportation,Minnesota,Departments,Department of Transportation,3,10363,0,0,2807,0,0,7555
10289,r513,Minnesota -> Departments -> Department of the Treasury,Minnesota,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r514,Minnesota -> Departments -> Department of Veterans Affairs,Minnesota,Departments,Department of Veterans Affairs,3,28073,28073,0,0,0,0,0
10289,r515,Minnesota -> Other agencies,Minnesota,Other agencies,,2,,,,,,,
10289,r516,Minnesota -> Other agencies -> Consumer Product Safety Commission,Minnesota,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r517,Minnesota -> Other agencies -> Environmental Protection Agency,Minnesota,Other agencies,Environmental Protection Agency,3,9876,9807,0,0.05,0.05,0.05,0
10289,r518,Minnesota -> Other agencies -> National Aeronautics and Space Administration,Minnesota,Other agencies,National Aeronautics and Space Administration,3,11432,1250,0,4524,5658,0,0
10289,r519,Minnesota -> Other agencies -> National Science Foundation,Minnesota,Other agencies,National Science Foundation,3,70339,0,0,3897,63760,2682,0
10289,r520,Minnesota -> Other agencies -> Nuclear Regulatory Commission,Minnesota,Other agencies,Nuclear Regulatory Commission,3,0.05,0,0,0.05,0,0,0
10289,r521,Minnesota -> Other agencies -> Postal Service,Minnesota,Other agencies,Postal Service,3,83,0,0,83,0,0,0
10289,r522,Mississippi,Mississippi,,,1,454921,234025,0,37985,175437,4825,2650
10289,r523,Mississippi -> Departments,Mississippi,Departments,,2,,,,,,,
10289,r524,Mississippi -> Departments -> Department of Agriculture,Mississippi,Departments,Department of Agriculture,3,126617,83371,0,320,37869,4575,482
10289,r525,Mississippi -> Departments -> Department of Commerce,Mississippi,Departments,Department of Commerce,3,13643,610,0,0,12856,50,127
10289,r526,Mississippi -> Departments -> Department of Defense,Mississippi,Departments,Department of Defense,3,126351,77954,0,23991,24247,158,0
10289,r527,Mississippi -> Departments -> Department of Education,Mississippi,Departments,Department of Education,3,446,0,0,0,446,0,0
10289,r528,Mississippi -> Departments -> Department of Energy,Mississippi,Departments,Department of Energy,3,6060,320,0,0,5740,0,0
10289,r529,Mississippi -> Departments -> Department of Health and Human Services,Mississippi,Departments,Department of Health and Human Services,3,66984,0,0,0,65640,0.05,1303
10289,r530,Mississippi -> Departments -> Department of Homeland Security,Mississippi,Departments,Department of Homeland Security,3,1971,0,0,1971,0,0,0
10289,r531,Mississippi -> Departments -> Department of the Interior,Mississippi,Departments,Department of the Interior,3,4084,3245,0,0,714,0,125
10289,r532,Mississippi -> Departments -> Department of Justice,Mississippi,Departments,Department of Justice,3,597,0,0,0,597,0,0
10289,r533,Mississippi -> Departments -> Department of Labor,Mississippi,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r534,Mississippi -> Departments -> Department of Transportation,Mississippi,Departments,Department of Transportation,3,6320,0.05,0,0,5684,0,612
10289,r535,Mississippi -> Departments -> Department of the Treasury,Mississippi,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r536,Mississippi -> Departments -> Department of Veterans Affairs,Mississippi,Departments,Department of Veterans Affairs,3,906,906,0,0,0,0,0
10289,r537,Mississippi -> Other agencies,Mississippi,Other agencies,,2,,,,,,,
10289,r538,Mississippi -> Other agencies -> Consumer Product Safety Commission,Mississippi,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r539,Mississippi -> Other agencies -> National Aeronautics and Space Administration,Mississippi,Other agencies,National Aeronautics and Space Administration,3,79345,67466,0,11449,430,0,0
10289,r540,Mississippi -> Other agencies -> National Science Foundation,Mississippi,Other agencies,National Science Foundation,3,21452,0,0,237,21215,0,0
10289,r541,Mississippi -> Other agencies -> Nuclear Regulatory Commission,Mississippi,Other agencies,Nuclear Regulatory Commission,3,120,120,0,0,0,0,0
10289,r542,Mississippi -> Other agencies -> Postal Service,Mississippi,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r543,Missouri,Missouri,,,1,2058775,160622,0,953196,884718,46466,13773
10289,r544,Missouri -> Departments,Missouri,Departments,,2,,,,,,,
10289,r545,Missouri -> Departments -> Department of Agriculture,Missouri,Departments,Department of Agriculture,3,69317,40077,0,906,27151,1183,0
10289,r546,Missouri -> Departments -> Department of Commerce,Missouri,Departments,Department of Commerce,3,1599,1563,0,0.05,0,0,0
10289,r547,Missouri -> Departments -> Department of Defense,Missouri,Departments,Department of Defense,3,976576,71133,0,835977,56289,13177,0
10289,r548,Missouri -> Departments -> Department of Education,Missouri,Departments,Department of Education,3,8388,0,0,0,8388,0,0
10289,r549,Missouri -> Departments -> Department of Energy,Missouri,Departments,Department of Energy,3,71427,0,0,50050,16702,4675,0
10289,r550,Missouri -> Departments -> Department of Health and Human Services,Missouri,Departments,Department of Health and Human Services,3,774776,0,0,31016,717610,16900,9250
10289,r551,Missouri -> Departments -> Department of Homeland Security,Missouri,Departments,Department of Homeland Security,3,5590,4540,0,0,1050,0,0
10289,r552,Missouri -> Departments -> Department of the Interior,Missouri,Departments,Department of the Interior,3,24489,22404,0,270,1746,69,0
10289,r553,Missouri -> Departments -> Department of Labor,Missouri,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r554,Missouri -> Departments -> Department of Transportation,Missouri,Departments,Department of Transportation,3,16088,50,0,9492,2023,0,4522
10289,r555,Missouri -> Departments -> Department of the Treasury,Missouri,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r556,Missouri -> Departments -> Department of Veterans Affairs,Missouri,Departments,Department of Veterans Affairs,3,20608,20608,0,0,0,0,0
10289,r557,Missouri -> Other agencies,Missouri,Other agencies,,2,,,,,,,
10289,r558,Missouri -> Other agencies -> Consumer Product Safety Commission,Missouri,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r559,Missouri -> Other agencies -> Environmental Protection Agency,Missouri,Other agencies,Environmental Protection Agency,3,1104,0,0,0,814,289,0
10289,r560,Missouri -> Other agencies -> National Aeronautics and Space Administration,Missouri,Other agencies,National Aeronautics and Space Administration,3,34294,242,0,22849,11203,0,0
10289,r561,Missouri -> Other agencies -> National Science Foundation,Missouri,Other agencies,National Science Foundation,3,54378,0,0,2463,41743,10172,0
10289,r562,Missouri -> Other agencies -> Postal Service,Missouri,Other agencies,Postal Service,3,130,0,0,130,0,0,0
10289,r563,Montana,Montana,,,1,287208,77990,0,29151,167255,2786,10026
10289,r564,Montana -> Departments,Montana,Departments,,2,,,,,,,
10289,r565,Montana -> Departments -> Department of Agriculture,Montana,Departments,Department of Agriculture,3,30990,14279,0,0.05,16596,90,0
10289,r566,Montana -> Departments -> Department of Commerce,Montana,Departments,Department of Commerce,3,200,0,0,0,200,0,0
10289,r567,Montana -> Departments -> Department of Defense,Montana,Departments,Department of Defense,3,77430,3309,0,9587,64316,219,0
10289,r568,Montana -> Departments -> Department of Education,Montana,Departments,Department of Education,3,151,0,0,0,0,0,151
10289,r569,Montana -> Departments -> Department of Energy,Montana,Departments,Department of Energy,3,13961,0,0,8569,5392,0,0
10289,r570,Montana -> Departments -> Department of Health and Human Services,Montana,Departments,Department of Health and Human Services,3,95072,40784,0,6492,39979,1993,5824
10289,r571,Montana -> Departments -> Department of Homeland Security,Montana,Departments,Department of Homeland Security,3,2180,0,0,0,0,0,2180
10289,r572,Montana -> Departments -> Department of the Interior,Montana,Departments,Department of the Interior,3,21084,19613,0,0,1033,50,388
10289,r573,Montana -> Departments -> Department of Labor,Montana,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r574,Montana -> Departments -> Department of Transportation,Montana,Departments,Department of Transportation,3,2957,0,0,73,1401,0,1484
10289,r575,Montana -> Departments -> Department of the Treasury,Montana,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r576,Montana -> Other agencies,Montana,Other agencies,,2,,,,,,,
10289,r577,Montana -> Other agencies -> Consumer Product Safety Commission,Montana,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r578,Montana -> Other agencies -> Environmental Protection Agency,Montana,Other agencies,Environmental Protection Agency,3,0.05,0,0,0,0.05,0.05,0
10289,r579,Montana -> Other agencies -> National Aeronautics and Space Administration,Montana,Other agencies,National Aeronautics and Space Administration,3,10813,0,0,3871,6941,0.05,0
10289,r580,Montana -> Other agencies -> National Science Foundation,Montana,Other agencies,National Science Foundation,3,32305,0,0,511,31370,424,0
10289,r581,Montana -> Other agencies -> Postal Service,Montana,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r582,Nebraska,Nebraska,,,1,302638,46772,0,20523,213769,18757,2816
10289,r583,Nebraska -> Departments,Nebraska,Departments,,2,,,,,,,
10289,r584,Nebraska -> Departments -> Department of Agriculture,Nebraska,Departments,Department of Agriculture,3,54401,32053,0,738,14580,7030,0
10289,r585,Nebraska -> Departments -> Department of Commerce,Nebraska,Departments,Department of Commerce,3,300,0,0,0,300,0,0
10289,r586,Nebraska -> Departments -> Department of Defense,Nebraska,Departments,Department of Defense,3,42448,3524,0,16690,20413,1820,0
10289,r587,Nebraska -> Departments -> Department of Education,Nebraska,Departments,Department of Education,3,2713,0,0,0,2713,0,0
10289,r588,Nebraska -> Departments -> Department of Energy,Nebraska,Departments,Department of Energy,3,7029,0,0,207,6810,0.05,0
10289,r589,Nebraska -> Departments -> Department of Health and Human Services,Nebraska,Departments,Department of Health and Human Services,3,134263,0,0,1606,122219,9849,590
10289,r590,Nebraska -> Departments -> Department of Homeland Security,Nebraska,Departments,Department of Homeland Security,3,7708,0,0,0,7708,0,0
10289,r591,Nebraska -> Departments -> Department of the Interior,Nebraska,Departments,Department of the Interior,3,1162,500,0,164,498,0,0
10289,r592,Nebraska -> Departments -> Department of Justice,Nebraska,Departments,Department of Justice,3,3171,0,0,0,3171,0,0
10289,r593,Nebraska -> Departments -> Department of Labor,Nebraska,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r594,Nebraska -> Departments -> Department of Transportation,Nebraska,Departments,Department of Transportation,3,5006,0,0,197,2583,0,2226
10289,r595,Nebraska -> Departments -> Department of the Treasury,Nebraska,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r596,Nebraska -> Departments -> Department of Veterans Affairs,Nebraska,Departments,Department of Veterans Affairs,3,10690,10690,0,0,0,0,0
10289,r597,Nebraska -> Other agencies,Nebraska,Other agencies,,2,,,,,,,
10289,r598,Nebraska -> Other agencies -> Consumer Product Safety Commission,Nebraska,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r599,Nebraska -> Other agencies -> National Aeronautics and Space Administration,Nebraska,Other agencies,National Aeronautics and Space Administration,3,1081,0.05,0,918,162,0,0
10289,r600,Nebraska -> Other agencies -> National Science Foundation,Nebraska,Other agencies,National Science Foundation,3,32660,0,0,0,32613,0.05,0
10289,r601,Nebraska -> Other agencies -> Postal Service,Nebraska,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r602,Nevada,Nevada,,,1,551831,50478,0,391891,97367,4874,7220
10289,r603,Nevada -> Departments,Nevada,Departments,,2,,,,,,,
10289,r604,Nevada -> Departments -> Department of Agriculture,Nevada,Departments,Department of Agriculture,3,5914,2717,0,80,3110,0.05,0
10289,r605,Nevada -> Departments -> Department of Commerce,Nevada,Departments,Department of Commerce,3,145,0,0,0,145,0,0
10289,r606,Nevada -> Departments -> Department of Defense,Nevada,Departments,Department of Defense,3,209532,4914,0,195490,9127,0,0
10289,r607,Nevada -> Departments -> Department of Energy,Nevada,Departments,Department of Energy,3,195367,903,0,176306,18158,0,0
10289,r608,Nevada -> Departments -> Department of Health and Human Services,Nevada,Departments,Department of Health and Human Services,3,44434,0,0,2229,34323,2098,5784
10289,r609,Nevada -> Departments -> Department of Homeland Security,Nevada,Departments,Department of Homeland Security,3,222,0,0,222,0,0,0
10289,r610,Nevada -> Departments -> Department of the Interior,Nevada,Departments,Department of the Interior,3,10496,9688,0,0,758,0,50
10289,r611,Nevada -> Departments -> Department of Justice,Nevada,Departments,Department of Justice,3,2568,0,0,0,568,2000,0
10289,r612,Nevada -> Departments -> Department of Labor,Nevada,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r613,Nevada -> Departments -> Department of Transportation,Nevada,Departments,Department of Transportation,3,2787,0,0,0,1401,0,1386
10289,r614,Nevada -> Departments -> Department of the Treasury,Nevada,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r615,Nevada -> Departments -> Department of Veterans Affairs,Nevada,Departments,Department of Veterans Affairs,3,1059,1059,0,0,0,0,0
10289,r616,Nevada -> Other agencies,Nevada,Other agencies,,2,,,,,,,
10289,r617,Nevada -> Other agencies -> Consumer Product Safety Commission,Nevada,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r618,Nevada -> Other agencies -> Environmental Protection Agency,Nevada,Other agencies,Environmental Protection Agency,3,1884,0,0,0,1390,494,0
10289,r619,Nevada -> Other agencies -> National Aeronautics and Space Administration,Nevada,Other agencies,National Aeronautics and Space Administration,3,51394,31193,0,17333,2867,0,0
10289,r620,Nevada -> Other agencies -> National Science Foundation,Nevada,Other agencies,National Science Foundation,3,25296,0,0,0,25020,276,0
10289,r621,Nevada -> Other agencies -> Nuclear Regulatory Commission,Nevada,Other agencies,Nuclear Regulatory Commission,3,500,0,0,0,500,0,0
10289,r622,Nevada -> Other agencies -> Postal Service,Nevada,Other agencies,Postal Service,3,218,0,0,218,0,0,0
10289,r623,New Hampshire,New Hampshire,,,1,522631,19404,0,279670,212380,9988,1189
10289,r624,New Hampshire -> Departments,New Hampshire,Departments,,2,,,,,,,
10289,r625,New Hampshire -> Departments -> Department of Agriculture,New Hampshire,Departments,Department of Agriculture,3,10249,4626,0,650,4924,0.05,0
10289,r626,New Hampshire -> Departments -> Department of Commerce,New Hampshire,Departments,Department of Commerce,3,12694,581,0,0.05,11798,311,0
10289,r627,New Hampshire -> Departments -> Department of Defense,New Hampshire,Departments,Department of Defense,3,272965,7224,0,254749,9788,1204,0
10289,r628,New Hampshire -> Departments -> Department of Energy,New Hampshire,Departments,Department of Energy,3,18027,76,0,1564,16251,0,136
10289,r629,New Hampshire -> Departments -> Department of Health and Human Services,New Hampshire,Departments,Department of Health and Human Services,3,112832,0,0,14877,89464,8254,237
10289,r630,New Hampshire -> Departments -> Department of Homeland Security,New Hampshire,Departments,Department of Homeland Security,3,319,0,0,319,0,0,0
10289,r631,New Hampshire -> Departments -> Department of the Interior,New Hampshire,Departments,Department of the Interior,3,2379,2010,0,0.05,227,0,118
10289,r632,New Hampshire -> Departments -> Department of Justice,New Hampshire,Departments,Department of Justice,3,1491,0,0,0,1491,0,0
10289,r633,New Hampshire -> Departments -> Department of Labor,New Hampshire,Departments,Department of Labor,3,0.05,0.05,0,0.05,0,0,0
10289,r634,New Hampshire -> Departments -> Department of Transportation,New Hampshire,Departments,Department of Transportation,3,823,0.05,0,95,0,0,697
10289,r635,New Hampshire -> Departments -> Department of the Treasury,New Hampshire,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r636,New Hampshire -> Departments -> Department of Veterans Affairs,New Hampshire,Departments,Department of Veterans Affairs,3,161,161,0,0,0,0,0
10289,r637,New Hampshire -> Other agencies,New Hampshire,Other agencies,,2,,,,,,,
10289,r638,New Hampshire -> Other agencies -> Consumer Product Safety Commission,New Hampshire,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r639,New Hampshire -> Other agencies -> National Aeronautics and Space Administration,New Hampshire,Other agencies,National Aeronautics and Space Administration,3,65094,4695,0,6294,54106,0,0
10289,r640,New Hampshire -> Other agencies -> National Science Foundation,New Hampshire,Other agencies,National Science Foundation,3,25494,0,0,1064,24260,171,0
10289,r641,New Hampshire -> Other agencies -> Postal Service,New Hampshire,Other agencies,Postal Service,3,0.05,0,0,0.05,0,0,0
10289,r642,New Hampshire -> Other agencies -> Social Security Administration,New Hampshire,Other agencies,Social Security Administration,3,71,0,0,0,71,0,0
10289,r643,New Jersey,New Jersey,,,1,3398171,1057007,126515,1591296,554091,47339,21924
10289,r644,New Jersey -> Departments,New Jersey,Departments,,2,,,,,,,
10289,r645,New Jersey -> Departments -> Department of Agriculture,New Jersey,Departments,Department of Agriculture,3,12912,103,0,849,10676,1283,0
10289,r646,New Jersey -> Departments -> Department of Commerce,New Jersey,Departments,Department of Commerce,3,12261,120,0,0.05,12102,0,0.05
10289,r647,New Jersey -> Departments -> Department of Defense,New Jersey,Departments,Department of Defense,3,1725542,1042484,0,611546,65419,6094,0
10289,r648,New Jersey -> Departments -> Department of Education,New Jersey,Departments,Department of Education,3,14836,0,0,9925,3698,1212,0
10289,r649,New Jersey -> Departments -> Department of Energy,New Jersey,Departments,Department of Energy,3,164780,0,126515,15616,22115,535,0
10289,r650,New Jersey -> Departments -> Department of Health and Human Services,New Jersey,Departments,Department of Health and Human Services,3,1209077,0,0,896725,262056,33787,16510
10289,r651,New Jersey -> Departments -> Department of Homeland Security,New Jersey,Departments,Department of Homeland Security,3,4648,0,0,4648,0,0,0
10289,r652,New Jersey -> Departments -> Department of the Interior,New Jersey,Departments,Department of the Interior,3,2973,1829,0,568,399,0,176
10289,r653,New Jersey -> Departments -> Department of Justice,New Jersey,Departments,Department of Justice,3,1866,0,0,0,1866,0,0
10289,r654,New Jersey -> Departments -> Department of Labor,New Jersey,Departments,Department of Labor,3,64,0.05,0,63,0,0,0
10289,r655,New Jersey -> Departments -> Department of Transportation,New Jersey,Departments,Department of Transportation,3,29355,0.05,0,20139,3979,0,5228
10289,r656,New Jersey -> Departments -> Department of the Treasury,New Jersey,Departments,Department of the Treasury,3,0.05,0.05,0,0,0,0,0
10289,r657,New Jersey -> Departments -> Department of Veterans Affairs,New Jersey,Departments,Department of Veterans Affairs,3,7299,7299,0,0,0,0,0
10289,r658,New Jersey -> Other agencies,New Jersey,Other agencies,,2,,,,,,,
10289,r659,New Jersey -> Other agencies -> Consumer Product Safety Commission,New Jersey,Other agencies,Consumer Product Safety Commission,3,0.05,0.05,0,0,0,0,0
10289,r660,New Jersey -> Other agencies -> Environmental Protection Agency,New Jersey,Other agencies,Environmental Protection Agency,3,4245,2214,0,1919,82,0.05,0
10289,r661,New Jersey -> Other agencies -> National Aeronautics and Space Administration,New Jersey,Other agencies,National Aeronautics and Space Administration,3,41788,2947,0,18634,20101,106,0
