table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_other_purchased_services_except_r_d_,field_other
720,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['119,690', '&nbsp;']","['74,794', '&nbsp;']","['10,620', '&nbsp;']","['6,180', '&nbsp;']","['1,818', '&nbsp;']","['4,069', '&nbsp;']","['2,541', '&nbsp;']","['3,353', '&nbsp;']","['2,987', '&nbsp;']","['13,327', '&nbsp;']"
720,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['4,012', '&nbsp;']","['2,290', '&nbsp;']","['44', '&nbsp;']","['222', '&nbsp;']","['48', '&nbsp;']","['270', '&nbsp;']","['93', '&nbsp;']","['103', '&nbsp;']","['324', '&nbsp;']","['617', '&nbsp;']"
720,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['480', '&nbsp;']","['133', 'i']","['3', 'i']","['17', 'i']","['47', '&nbsp;']","['60', '&nbsp;']","['1', 'i']","['142', '&nbsp;']","['11', 'i']","['65', 'i']"
720,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,768', 'i']","['927', 'i']","['*', '&nbsp;']","['128', 'i']","['4', 'i']","['65', 'i']","['30', 'i']","['78', 'i']","['63', 'i']","['473', 'i']"
720,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['1,533', 'i']","['1,062', 'i']","['D', '&nbsp;']","['1', 'i']","['*', 'i']","['5', '&nbsp;']","['*', 'i']","['187', 'i']","['0', '&nbsp;']","['D', '&nbsp;']"
720,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['403', '&nbsp;']","['257', '&nbsp;']","['0', '&nbsp;']","['56', '&nbsp;']","['5', '&nbsp;']","['39', '&nbsp;']","['3', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['31', '&nbsp;']"
720,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['65,513', '&nbsp;']","['41,066', '&nbsp;']","['9,376', '&nbsp;']","['3,103', '&nbsp;']","['1,248', '&nbsp;']","['1,464', '&nbsp;']","['1,686', '&nbsp;']","['1,816', '&nbsp;']","['529', '&nbsp;']","['5,226', '&nbsp;']"
720,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['33,346', '&nbsp;']","['22,903', '&nbsp;']","['2,703', '&nbsp;']","['1,358', '&nbsp;']","['268', '&nbsp;']","['534', '&nbsp;']","['623', '&nbsp;']","['743', '&nbsp;']","['460', '&nbsp;']","['3,754', '&nbsp;']"
720,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['98', 'i']","['80', 'i']","['0', '&nbsp;']","['2', 'i']","['1', 'i']","['8', 'i']","['1', 'i']","['6', 'i']","['0', '&nbsp;']","['*', 'i']"
720,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['33,248', '&nbsp;']","['22,822', '&nbsp;']","['2,703', '&nbsp;']","['1,357', '&nbsp;']","['267', '&nbsp;']","['526', '&nbsp;']","['622', '&nbsp;']","['737', '&nbsp;']","['460', '&nbsp;']","['3,753', '&nbsp;']"
