table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_2020,field_2021,field_2022,field_2023
12731,r341,Washington -> Private -> Gonzaga U.,Washington,Private,Gonzaga U.,3,"['506', '']","['212', '']","['640', '']","['535', '']"
12731,r342,Washington -> Private -> Pacific Lutheran U.,Washington,Private,Pacific Lutheran U.,3,"['449', '']","['370', '']","['495', '']","['347', '']"
12731,r343,Washington -> Private -> Pacific Northwest U. of Health Sciences,Washington,Private,Pacific Northwest U. of Health Sciences,3,"['808', '']","['ne', '']","['ne', '']","['307', '']"
12731,r344,Washington -> Private -> Saint Martin's U.,Washington,Private,Saint Martin's U.,3,"['201', '']","['299', '']","['305', '']","['152', '']"
12731,r345,Washington -> Private -> Seattle Pacific U.,Washington,Private,Seattle Pacific U.,3,"['643', '']","['683', '']","['742', '']","['1,671', '']"
12731,r346,Washington -> Private -> Whitworth U.,Washington,Private,Whitworth U.,3,"['660', '']","['403', '']","['438', 'i']","['473', '']"
12731,r347,West Virginia,West Virginia,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r348,West Virginia -> Public,West Virginia,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r349,West Virginia -> Public -> Bluefield State U.,West Virginia,Public,Bluefield State U.,3,"['485', '']","['506', '']","['642', '']","['987', '']"
12731,r350,West Virginia -> Public -> Concord U.,West Virginia,Public,Concord U.,3,"['ne', '']","['ne', '']","['ne', '']","['807', '']"
12731,r351,West Virginia -> Public -> West Liberty U.,West Virginia,Public,West Liberty U.,3,"['738', '']","['738', '']","['815', '']","['910', '']"
12731,r352,"West Virginia -> Public -> West Virginia U., Institute of Technology",West Virginia,Public,"West Virginia U., Institute of Technology",3,"['ne', '']","['ne', '']","['ne', '']","['229', '']"
12731,r353,West Virginia -> Private,West Virginia,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r354,West Virginia -> Private -> Future Generations U.,West Virginia,Private,Future Generations U.,3,"['271', 'i']","['270', 'i']","['312', 'i']","['356', 'i']"
12731,r355,Wisconsin,Wisconsin,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r356,Wisconsin -> Public,Wisconsin,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r357,Wisconsin -> Public -> U. Wisconsin-Stout,Wisconsin,Public,U. Wisconsin-Stout,3,"['555', '']","['406', '']","['367', '']","['512', '']"
12731,r358,Wisconsin -> Public -> U. Wisconsin-Whitewater,Wisconsin,Public,U. Wisconsin-Whitewater,3,"['736', '']","['760', '']","['713', '']","['536', '']"
12731,r359,Wisconsin -> Private,Wisconsin,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r360,Wisconsin -> Private -> Alverno C.,Wisconsin,Private,Alverno C.,3,"['237', '']","['215', '']","['228', '']","['263', '']"
12731,r361,Wisconsin -> Private -> Carthage C.,Wisconsin,Private,Carthage C.,3,"['ne', '']","['ne', '']","['ne', '']","['1,013', '']"
12731,r362,"Wisconsin -> Private -> Concordia U., Wisconsin",Wisconsin,Private,"Concordia U., Wisconsin",3,"['293', '']","['439', '']","['168', '']","['291', '']"
12731,r363,Wisconsin -> Private -> Lawrence U.,Wisconsin,Private,Lawrence U.,3,"['423', '']","['536', '']","['671', '']","['794', '']"
12731,r364,Wisconsin -> Private -> St. Norbert C.,Wisconsin,Private,St. Norbert C.,3,"['304', '']","['412', '']","['741', '']","['629', '']"
12731,r365,Wyoming,Wyoming,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r366,Wyoming -> Public,Wyoming,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r367,Wyoming -> Public -> Central Wyoming C.,Wyoming,Public,Central Wyoming C.,3,"['ne', '']","['ne', '']","['504', '']","['489', '']"
12731,r368,American Samoa,American Samoa,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r369,American Samoa -> Public,American Samoa,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r370,American Samoa -> Public -> American Samoa Community C.,American Samoa,Public,American Samoa Community C.,3,"['1,536', '']","['815', '']","['961', 'i']","['1,055', 'i']"
12731,r371,Puerto Rico,Puerto Rico,,,1,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r372,Puerto Rico -> Public,Puerto Rico,Public,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r373,"Puerto Rico -> Public -> U. Puerto Rico, Aguadilla",Puerto Rico,Public,"U. Puerto Rico, Aguadilla",3,"['562', '']","['639', '']","['823', '']","['741', '']"
12731,r374,"Puerto Rico -> Public -> U. Puerto Rico, Arecibo",Puerto Rico,Public,"U. Puerto Rico, Arecibo",3,"['ne', '']","['ne', '']","['ne', '']","['150', 'i']"
12731,r375,Puerto Rico -> Private,Puerto Rico,Private,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
12731,r376,Puerto Rico -> Private -> Polytechnic U. Puerto Rico,Puerto Rico,Private,Polytechnic U. Puerto Rico,3,"['813', '']","['821', '']","['620', '']","['1,039', '']"
12731,r377,"Puerto Rico -> Private -> Pontifical Catholic U. Puerto Rico, Ponce",Puerto Rico,Private,"Pontifical Catholic U. Puerto Rico, Ponce",3,"['239', '']","['350', '']","['334', '']","['478', '']"
12731,r378,Puerto Rico -> Private -> San Juan Bautista School of Medicine,Puerto Rico,Private,San Juan Bautista School of Medicine,3,"['612', '']","['598', '']","['662', '']","['740', '']"
12731,r379,"Puerto Rico -> Private -> U. Ana G. Mendez, Carolina",Puerto Rico,Private,"U. Ana G. Mendez, Carolina",3,"['647', '']","['602', '']","['645', '']","['193', '']"
12731,r380,"Puerto Rico -> Private -> U. Ana G. Mendez, Cupey",Puerto Rico,Private,"U. Ana G. Mendez, Cupey",3,"['818', '']","['739', '']","['728', '']","['746', '']"
