table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
768,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['66', '&nbsp;']","['53', '&nbsp;']","['14', '&nbsp;']","['53', '&nbsp;']","['42', '&nbsp;']","['11', '&nbsp;']","['13', '&nbsp;']","['11', '&nbsp;']","['2', '&nbsp;']"
768,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['40', '&nbsp;']","['22', '&nbsp;']","['18', '&nbsp;']","['32', '&nbsp;']","['18', '&nbsp;']","['14', '&nbsp;']","['8', '&nbsp;']","['5', '&nbsp;']","['3', '&nbsp;']"
768,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['344', '&nbsp;']","['220', '&nbsp;']","['123', '&nbsp;']","['246', '&nbsp;']","['165', 'i']","['81', 'i']","['98', '&nbsp;']","['56', '&nbsp;']","['42', '&nbsp;']"
768,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['52', '&nbsp;']","['40', 'i']","['12', 'i']","['44', '&nbsp;']","['34', 'i']","['10', 'i']","['8', '&nbsp;']","['7', '&nbsp;']","['2', '&nbsp;']"
768,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['136', '&nbsp;']","['101', '&nbsp;']","['35', '&nbsp;']","['92', '&nbsp;']","['68', 'i']","['24', 'i']","['44', '&nbsp;']","['32', '&nbsp;']","['11', '&nbsp;']"
768,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['122', '&nbsp;']","['55', '&nbsp;']","['67', '&nbsp;']","['82', '&nbsp;']","['43', '&nbsp;']","['40', '&nbsp;']","['40', '&nbsp;']","['12', '&nbsp;']","['27', '&nbsp;']"
768,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['31', '&nbsp;']","['13', '&nbsp;']","['18', '&nbsp;']","['22', '&nbsp;']","['10', '&nbsp;']","['12', '&nbsp;']","['9', '&nbsp;']","['3', '&nbsp;']","['6', '&nbsp;']"
768,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['84', '&nbsp;']","['39', '&nbsp;']","['45', '&nbsp;']","['54', '&nbsp;']","['30', '&nbsp;']","['24', '&nbsp;']","['30', '&nbsp;']","['9', '&nbsp;']","['21', '&nbsp;']"
