table_id,row_id,broad_field_of_study_and_primary_source_of_support_full_path,broad_field_of_study_and_primary_source_of_support_level_1,broad_field_of_study_and_primary_source_of_support_level_2,broad_field_of_study_and_primary_source_of_support_level_3,broad_field_of_study_and_primary_source_of_support_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
978,r049,All fields (number) -> Education (number) -> Other,All fields (number),Education (number),Other,3,2.2,3.9,1.3,0.1,17.3,0.0,0.0,0.0,0.0,0.2,0.0,0.0,5.0
978,r050,All fields (number) -> Humanities and arts (number),All fields (number),Humanities and arts (number),,2,4653,2285,2368,3968,667,283,,173,136,3187,113,,12
978,r051,All fields (number) -> Humanities and arts (number) -> Teaching assistantships,All fields (number),Humanities and arts (number),Teaching assistantships,3,37.4,35.1,39.7,37.5,37.5,37.5,38.5,34.1,25.7,38.0,37.2,41.2,66.7
978,r052,All fields (number) -> Humanities and arts (number) -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Humanities and arts (number),Research assistantships or traineeships<sup>b</sup>,3,2.5,2.4,2.6,2.5,2.1,,0.0,,,2.7,,3.9,0.0
978,r053,"All fields (number) -> Humanities and arts (number) -> Fellowships, scholarships, or dissertation grants<sup>c</sup>",All fields (number),Humanities and arts (number),"Fellowships, scholarships, or dissertation grants<sup>c</sup>",3,36.5,37.1,35.9,34.8,46.0,39.6,,,41.9,33.4,34.5,35.3,25.0
978,r054,All fields (number) -> Humanities and arts (number) -> Own resources,All fields (number),Humanities and arts (number),Own resources,3,20.9,22.1,19.7,,,,,15.6,27.9,23.3,23.9,,8.3
978,r055,All fields (number) -> Humanities and arts (number) -> Employer,All fields (number),Humanities and arts (number),Employer,3,1.9,2.3,1.5,,,,,0.0,,2.4,,0.0,0.0
978,r056,All fields (number) -> Humanities and arts (number) -> Other,All fields (number),Humanities and arts (number),Other,3,0.9,1.0,0.7,0.2,4.8,0.4,0.0,0.0,0.0,0.2,0.9,0.0,0.0
978,r057,All fields (number) -> Other (number)<sup>e</sup>,All fields (number),Other (number)<sup>e</sup>,,2,2597,1203,1394,1716,860,119,,165,213,1146,50,,6
978,r058,All fields (number) -> Other (number)<sup>e</sup> -> Teaching assistantships,All fields (number),Other (number)<sup>e</sup>,Teaching assistantships,3,22.8,20.6,24.7,20.7,27.1,14.3,0.0,23.0,15.0,22.3,20.0,21.4,16.7
978,r059,All fields (number) -> Other (number)<sup>e</sup> -> Research assistantships or traineeships<sup>b</sup>,All fields (number),Other (number)<sup>e</sup>,Research assistantships or traineeships<sup>b</sup>,3,17.2,18.2,16.3,13.8,23.7,10.9,0.0,19.4,6.6,14.5,16.0,14.3,16.7
978,r060,"All fields (number) -> Other (number)<sup>e</sup> -> Fellowships, scholarships, or dissertation grants<sup>c</sup>",All fields (number),Other (number)<sup>e</sup>,"Fellowships, scholarships, or dissertation grants<sup>c</sup>",3,24.5,25.9,23.3,21.2,31.6,26.1,,33.9,16.9,19.3,,14.3,50.0
978,r061,All fields (number) -> Other (number)<sup>e</sup> -> Own resources,All fields (number),Other (number)<sup>e</sup>,Own resources,3,28.8,26.9,30.4,37.8,10.6,39.5,,20.0,54.9,37.3,,35.7,16.7
978,r062,All fields (number) -> Other (number)<sup>e</sup> -> Employer,All fields (number),Other (number)<sup>e</sup>,Employer,3,4.4,5.5,3.4,6.1,0.9,8.4,,3.0,6.6,6.1,,,0.0
978,r063,All fields (number) -> Other (number)<sup>e</sup> -> Other,All fields (number),Other (number)<sup>e</sup>,Other,3,2.3,2.9,1.8,0.5,6.0,0.8,0.0,0.6,0.0,0.5,0.0,0.0,0.0
