table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2075,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['20', '  ']","['15', '  ']","['*', 'i ']","['4', '  ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
2075,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['34', 'i ']","['33', 'i ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['*', '  ']"
2075,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['93', '  ']","['91', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0 - 2', '  ']","['0 - 2', '  ']"
2075,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['42,704', '  ']","['36,081', '  ']","['1,727', 'i ']","['3,444', '  ']","['88', 'i ']","['10', '  ']","['498', '  ']","['588', '  ']","['267', '  ']"
2075,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2075,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['449', '  ']","['356', '  ']","['0 - 16', 'i ']","['62', '  ']","['2', 'i ']","['*', 'i ']","['16', '  ']","['0 - 16', 'i ']","['0 - 14', 'i ']"
2075,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['1,245', '  ']","['989', '  ']","['12', 'i ']","['141', '  ']","['5', 'i ']","['*', '  ']","['46', '  ']","['33', '  ']","['18', '  ']"
2075,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2075,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['1,468', '  ']","['1,234', '  ']","['0 - 18', 'i ']","['162', '  ']","['3', '  ']","['*', 'i ']","['28', '  ']","['26', '  ']","['0 - 14', 'i ']"
2075,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['3,048', '  ']","['2,473', '  ']","['20', '  ']","['350', '  ']","['10', '  ']","['*', 'i ']","['49', '  ']","['12', '  ']","['133', '  ']"
