table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_foreign_companies_subsidiariesa,field_foreign_companies_company_s_parent,field_foreign_companies_unaffiliated_companies,field_foreign_government_agencies,field_foreign_universities_colleges_and_academic_researchers,field_all_other
9681,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']"
9681,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['231', '  ']","['10', '  ']","['139', '  ']","['82', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
9681,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['8', '  ']","['0', '  ']","['6', '  ']","['2', 'r ']","['0', '  ']","['*', 'i ']","['0', '  ']"
9681,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['5 - 24', '  ']","['0', '  ']","['0', '  ']","['5 - 24', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9681,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['55,500', '  ']","['32,055', '  ']","['20,806', '  ']","['2,450', '  ']","['155', '  ']","['1', '  ']","['34', '  ']"
9681,r075,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9681,r076,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>b</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>b</sup>,,,3,–,"['177 - 252', '  ']","['2', '  ']","['175', '  ']","['0 - 73', '  ']","['1', '  ']","['1', '  ']","['0 - 8', '  ']"
9681,r077,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['487', '  ']","['14', '  ']","['392', '  ']","['69', '  ']","['8', '  ']","['0', '  ']","['3', 'r ']"
9681,r078,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9681,r079,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['872', '  ']","['87', '  ']","['684', '  ']","['90', '  ']","['9', '  ']","['*', '  ']","['2', 'r ']"
9681,r080,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,488', '  ']","['49', '  ']","['1,232', '  ']","['205', '  ']","['2', '  ']","['*', '  ']","['*', '  ']"
9681,r081,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9681,r082,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,382', '  ']","['606', '  ']","['1,520', '  ']","['249', '  ']","['0', '  ']","['*', '  ']","['6', '  ']"
9681,r083,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,267', '  ']","['767', '  ']","['1,193', '  ']","['297', '  ']","['1', '  ']","['0', '  ']","['10', '  ']"
9681,r084,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['9,509', '  ']","['3,083', '  ']","['5,885', '  ']","['509', '  ']","['21 - 34', '  ']","['*', '  ']","['0 - 8', '  ']"
9681,r085,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['5,254', 'i ']","['962', '  ']","['3,540', 'i ']","['741', 'i ']","['2', '  ']","['*', 'i ']","['8', 'i ']"
9681,r086,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['10,579 - 10,653', '  ']","['4,262', '  ']","['6,098', '  ']","['221', 'i ']","['0 - 71', '  ']","['0', '  ']","['0', '  ']"
9681,r087,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['22,414', '  ']","['22,224', '  ']","['86', '  ']","['0 - 73', '  ']","['29 - 106', 'i ']","['0', '  ']","['0', '  ']"
