table_id,row_id,_b_state_or_location_and_agency_b_full_path,_b_state_or_location_and_agency_b_level_1,_b_state_or_location_and_agency_b_level_2,_b_state_or_location_and_agency_b_level_3,_b_state_or_location_and_agency_b_hierarchy_depth,field_total,field_intramurala,field_extramural_industry,field_extramural_industry_administered_ffrdcs,field_extramural_universities_and_colleges,field_extramural_university_administered_ffrdcs,field_extramural_other_nonprofits,field_extramural_nonprofit_administered_ffrdcs,field_extramural_state_local_governments
3950,r121,Florida -> Department of the Interior,Florida,Department of the Interior,,2,45106.8,40839.5,1260.5,0.0,2524.4,0.0,159.4,0.0,323.0
3950,r122,Florida -> Department of Transportation,Florida,Department of Transportation,,2,29626.1,663.9,2660.4,0.0,18302.6,0.0,0.0,0.0,7999.2
3950,r123,Florida -> Environmental Protection Agency,Florida,Environmental Protection Agency,,2,10645.7,8663.2,350.5,0.0,1632.0,0.0,0.0,0.0,0.0
3950,r124,Florida -> National Aeronautics and Space Administration,Florida,National Aeronautics and Space Administration,,2,344862.2,118770.1,203736.2,0.0,21657.7,0.0,698.2,0.0,0.0
3950,r125,Florida -> National Science Foundation,Florida,National Science Foundation,,2,209858.0,0.0,8321.4,0.0,200594.2,0.0,942.4,0.0,0.0
3950,r126,Georgia,Georgia,,,1,1503918.0,283437.3,202102.4,0.0,985832.7,0.0,24018.6,0.0,8527.1
3950,r127,Georgia -> Department of Agriculture,Georgia,Department of Agriculture,,2,80765.9,47290.4,6.2,0.0,33444.2,0.0,25.0,0.0,0.0
3950,r128,Georgia -> Department of Commerce,Georgia,Department of Commerce,,2,4784.5,0.0,230.5,0.0,4553.9,0.0,0.0,0.0,0.0
3950,r129,"Georgia -> Department of Defense, research",Georgia,"Department of Defense, research",,2,105211.0,3376.2,18236.3,0.0,80948.4,0.0,2650.1,0.0,0.0
3950,r130,"Georgia -> Department of Defense, total experimental development<sup>b</sup>",Georgia,"Department of Defense, total experimental development<sup>b</sup>",,2,399508.4,161864.2,126223.0,0.0,98844.8,0.0,12576.4,0.0,0.0
3950,r131,Georgia -> Department of Energy,Georgia,Department of Energy,,2,38762.1,0.0,9383.2,0.0,26420.7,0.0,2958.2,0.0,0.0
3950,r132,Georgia -> Department of Health and Human Services,Georgia,Department of Health and Human Services,,2,688313.0,61821.3,29236.6,0.0,590289.2,0.0,4230.4,0.0,2735.5
3950,r133,Georgia -> Department of Homeland Security,Georgia,Department of Homeland Security,,2,3558.5,0.0,3204.4,0.0,354.1,0.0,0.0,0.0,0.0
3950,r134,Georgia -> Department of the Interior,Georgia,Department of the Interior,,2,2861.7,2565.3,0.0,0.0,296.4,0.0,0.0,0.0,0.0
3950,r135,Georgia -> Department of Transportation,Georgia,Department of Transportation,,2,10614.2,293.5,833.4,0.0,2345.7,0.0,1375.0,0.0,5766.6
3950,r136,Georgia -> Environmental Protection Agency,Georgia,Environmental Protection Agency,,2,5893.9,5878.6,15.3,0.0,0.0,0.0,0.0,0.0,0.0
3950,r137,Georgia -> National Aeronautics and Space Administration,Georgia,National Aeronautics and Space Administration,,2,24253.4,347.8,9212.1,0.0,14693.4,0.0,0.0,0.0,0.0
3950,r138,Georgia -> National Science Foundation,Georgia,National Science Foundation,,2,139391.6,0.0,5521.2,0.0,133641.9,0.0,203.5,0.0,25.0
3950,r139,Hawaii,Hawaii,,,1,411940.0,169804.3,98594.8,0.0,126866.0,0.0,16021.8,0.0,653.0
3950,r140,Hawaii -> Department of Agriculture,Hawaii,Department of Agriculture,,2,19118.8,13929.3,0.0,0.0,4503.1,0.0,686.4,0.0,0.0
3950,r141,Hawaii -> Department of Commerce,Hawaii,Department of Commerce,,2,5049.9,3290.2,73.0,0.0,50.0,0.0,1579.2,0.0,57.6
3950,r142,"Hawaii -> Department of Defense, research",Hawaii,"Department of Defense, research",,2,53638.7,3423.8,31024.2,0.0,11224.6,0.0,7961.3,0.0,4.8
3950,r143,"Hawaii -> Department of Defense, total experimental development<sup>b</sup>",Hawaii,"Department of Defense, total experimental development<sup>b</sup>",,2,199793.2,146387.9,51881.9,0.0,1288.0,0.0,232.1,0.0,3.2
3950,r144,Hawaii -> Department of Energy,Hawaii,Department of Energy,,2,9097.2,0.0,3910.5,0.0,5186.7,0.0,0.0,0.0,0.0
3950,r145,Hawaii -> Department of Health and Human Services,Hawaii,Department of Health and Human Services,,2,53018.8,0.0,5263.3,0.0,44054.3,0.0,3116.3,0.0,584.9
3950,r146,Hawaii -> Department of Homeland Security,Hawaii,Department of Homeland Security,,2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3950,r147,Hawaii -> Department of the Interior,Hawaii,Department of the Interior,,2,3751.1,2483.2,0.0,0.0,1267.9,0.0,0.0,0.0,0.0
3950,r148,Hawaii -> Department of Transportation,Hawaii,Department of Transportation,,2,202.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,2.0
3950,r149,Hawaii -> National Aeronautics and Space Administration,Hawaii,National Aeronautics and Space Administration,,2,28188.8,289.9,5023.8,0.0,22874.5,0.0,0.0,0.0,0.6
