table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3166,r125,All institutions -> Oregon State U.,All institutions,Oregon State U.,2,124,"['3,623', '']","['2,550', '']","['2,916', '']","['3,811', '']","['2,802', '']","['2,055', '']","['2,378', '']","['3,214', '']"
3166,r126,All institutions -> North Dakota State U.,All institutions,North Dakota State U.,2,125,"['6,408', '']","['4,865', '']","['4,067', '']","['3,713', '']","['3,394', '']","['2,769', '']","['1,806', '']","['1,889', '']"
3166,r127,"All institutions -> U. California, Merced",All institutions,"U. California, Merced",2,126,"['2,654', '']","['3,087', '']","['2,280', '']","['3,653', '']","['1,888', '']","['2,408', '']","['1,630', '']","['2,250', '']"
3166,r128,All institutions -> George Washington U.,All institutions,George Washington U.,2,127,"['3,462', '']","['3,440', '']","['3,492', '']","['3,526', '']","['2,397', '']","['2,296', '']","['2,048', '']","['2,256', '']"
3166,r129,All institutions -> Case Western Reserve U.,All institutions,Case Western Reserve U.,2,128,"['3,056', '']","['3,387', '']","['2,868', '']","['3,471', '']","['2,206', '']","['2,597', '']","['2,233', '']","['2,735', '']"
3166,r130,"All institutions -> California State U., Long Beach",All institutions,"California State U., Long Beach",2,129,"['2,271', '']","['3,230', '']","['3,819', '']","['3,453', '']","['1,936', '']","['3,061', '']","['3,660', '']","['3,327', '']"
3166,r131,"All institutions -> U. Montana, Missoula",All institutions,"U. Montana, Missoula",2,130,"['2,843', '']","['3,432', '']","['2,184', '']","['3,363', '']","['1,737', '']","['1,613', '']","['2,091', '']","['2,351', '']"
3166,r132,"All institutions -> U. Alabama, Tuscaloosa",All institutions,"U. Alabama, Tuscaloosa",2,131,"['4,036', '']","['3,795', '']","['4,382', '']","['3,315', '']","['2,514', '']","['2,563', '']","['2,500', '']","['2,435', '']"
3166,r133,"All institutions -> Brigham Young U., Provo",All institutions,"Brigham Young U., Provo",2,132,"['3,432', '']","['3,025', '']","['2,942', '']","['3,158', '']","['2,012', '']","['2,254', '']","['2,514', '']","['2,617', '']"
3166,r134,All institutions -> Utah State U.,All institutions,Utah State U.,2,132,"['2,434', '']","['1,630', '']","['3,075', '']","['3,158', '']","['1,418', '']","['1,084', '']","['1,354', '']","['1,710', '']"
3166,r135,All institutions -> New Jersey Institute of Technology,All institutions,New Jersey Institute of Technology,2,134,"['2,748', '']","['2,262', '']","['2,538', '']","['3,128', '']","['592', '']","['530', '']","['700', '']","['553', '']"
3166,r136,All institutions -> Tulane U.,All institutions,Tulane U.,2,135,"['2,871', '']","['2,337', '']","['1,866', '']","['3,121', '']","['1,369', '']","['1,480', '']","['1,231', '']","['1,939', '']"
3166,r137,"All institutions -> CUNY, Hunter C.",All institutions,"CUNY, Hunter C.",2,136,"['3,121', '']","['2,274', '']","['3,119', '']","['3,027', '']","['1,914', '']","['1,398', '']","['2,288', '']","['1,810', '']"
3166,r138,All institutions -> Georgetown U.,All institutions,Georgetown U.,2,137,"['2,565', '']","['3,863', '']","['3,369', '']","['2,958', '']","['1,708', '']","['2,207', '']","['2,627', '']","['2,194', '']"
3166,r139,All institutions -> South Dakota State U.,All institutions,South Dakota State U.,2,138,"['3,593', '']","['3,911', '']","['2,960', '']","['2,898', '']","['614', '']","['983', '']","['1,149', '']","['1,213', '']"
3166,r140,All institutions -> Colorado School of Mines,All institutions,Colorado School of Mines,2,139,"['3,949', '']","['3,794', '']","['3,576', '']","['2,839', '']","['2,148', '']","['2,604', '']","['3,080', '']","['2,379', '']"
3166,r141,All institutions -> Old Dominion U.,All institutions,Old Dominion U.,2,140,"['2,519', '']","['3,249', '']","['2,687', '']","['2,838', '']","['1,501', '']","['2,314', '']","['2,126', '']","['1,654', '']"
3166,r142,All institutions -> U. Denver,All institutions,U. Denver,2,141,"['2,316', '']","['3,278', '']","['2,944', '']","['2,818', '']","['1,374', '']","['2,213', '']","['1,916', '']","['2,110', '']"
3166,r143,All institutions -> U. Wisconsin-Milwaukee,All institutions,U. Wisconsin-Milwaukee,2,142,"['4,784', '']","['4,945', '']","['4,080', '']","['2,749', '']","['3,798', '']","['3,567', '']","['2,555', '']","['1,275', '']"
3166,r144,All institutions -> U. South Dakota,All institutions,U. South Dakota,2,143,"['2,250', '']","['1,517', '']","['1,737', '']","['2,741', '']","['1,010', '']","['747', '']","['548', '']","['756', '']"
3166,r145,All institutions -> U. North Dakota,All institutions,U. North Dakota,2,144,"['5,475', '']","['2,437', '']","['2,306', '']","['2,720', '']","['5,161', '']","['806', '']","['560', '']","['881', '']"
3166,r146,All institutions -> U. Toledo,All institutions,U. Toledo,2,145,"['2,521', '']","['1,604', '']","['2,367', '']","['2,703', '']","['1,404', '']","['1,359', '']","['1,355', '']","['1,713', '']"
3166,r147,All institutions -> Portland State U.,All institutions,Portland State U.,2,146,"['3,268', '']","['3,576', '']","['3,360', '']","['2,667', '']","['2,563', '']","['2,558', '']","['2,151', '']","['2,222', '']"
3166,r148,"All institutions -> U. North Carolina, Greensboro",All institutions,"U. North Carolina, Greensboro",2,147,"['2,558', '']","['2,984', '']","['2,701', '']","['2,612', '']","['2,091', '']","['2,616', '']","['2,291', '']","['2,301', '']"
3166,r149,"All institutions -> U. Puerto Rico, Rio Piedras",All institutions,"U. Puerto Rico, Rio Piedras",2,148,"['5,342', '']","['3,631', '']","['1,809', '']","['2,488', '']","['4,927', '']","['3,165', '']","['1,517', '']","['2,217', '']"
3166,r150,All institutions -> Duquesne U.,All institutions,Duquesne U.,2,149,"['2,510', '']","['2,178', '']","['2,436', '']","['2,446', '']","['782', '']","['579', '']","['721', '']","['669', '']"
3166,r151,All institutions -> U. Vermont,All institutions,U. Vermont,2,150,"['775', '']","['1,298', '']","['1,368', '']","['2,438', '']","['509', '']","['514', '']","['1,187', '']","['1,279', '']"
3166,r152,"All institutions -> U. Missouri, Saint Louis",All institutions,"U. Missouri, Saint Louis",2,151,"['1,548', '']","['1,607', '']","['1,985', '']","['2,412', '']","['615', '']","['1,077', '']","['1,363', '']","['1,741', '']"
3166,r153,All institutions -> Virginia Commonwealth U.,All institutions,Virginia Commonwealth U.,2,152,"['1,668', '']","['1,945', '']","['2,287', '']","['2,383', '']","['1,543', '']","['1,590', '']","['1,174', '']","['1,442', '']"
3166,r154,All institutions -> Clarkson U.,All institutions,Clarkson U.,2,153,"['1,029', '']","['837', '']","['772', '']","['2,300', '']","['544', '']","['291', '']","['343', '']","['504', '']"
3166,r155,All institutions -> Brandeis U.,All institutions,Brandeis U.,2,154,"['2,512', '']","['3,428', 'i']","['3,137', '']","['2,287', '']","['1,923', '']","['2,426', '']","['2,470', '']","['1,819', '']"
3166,r156,All institutions -> Oakland U.,All institutions,Oakland U.,2,155,"['1,286', '']","['1,189', '']","['1,136', '']","['2,281', '']","['830', '']","['827', '']","['767', '']","['720', '']"
3166,r157,All institutions -> Marquette U.,All institutions,Marquette U.,2,156,"['1,595', '']","['1,538', '']","['2,639', '']","['2,202', '']","['1,111', '']","['1,025', '']","['1,467', '']","['1,222', '']"
3166,r158,All institutions -> Lehigh U.,All institutions,Lehigh U.,2,157,"['2,898', '']","['2,655', '']","['3,184', '']","['2,201', '']","['1,856', '']","['1,532', '']","['2,137', '']","['1,312', '']"
3166,r159,All institutions -> Florida Atlantic U.,All institutions,Florida Atlantic U.,2,158,"['1,134', '']","['2,827', '']","['2,181', '']","['2,184', '']","['1,010', '']","['1,447', '']","['1,258', '']","['968', '']"
3166,r160,All institutions -> Saint Louis U.,All institutions,Saint Louis U.,2,159,"['685', '']","['952', '']","['1,580', '']","['2,179', '']","['510', '']","['566', '']","['830', '']","['877', '']"
