table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1442,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,089', 'i']","['266', '&nbsp;']","['142', 'i']","['339', '&nbsp;']","['661', '&nbsp;']","['631', '&nbsp;']","['1,294', '&nbsp;']","['1,245', '&nbsp;']","['1,752', ' ']"
1442,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['93', '&nbsp;']","['559', '&nbsp;']","['812', '&nbsp;']","['1,308', '&nbsp;']","['1,316', '&nbsp;']","['1,616', '&nbsp;']","['2,196', '&nbsp;']","['2,378', '&nbsp;']","['2,886', ' ']"
1442,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['74', '&nbsp;']","['518', '&nbsp;']","['467', '&nbsp;']","['496', '&nbsp;']","['628', '&nbsp;']","['587', '&nbsp;']","['625', '&nbsp;']","['950', '&nbsp;']","['1,136', ' ']"
1442,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['65', '&nbsp;']","['28', '&nbsp;']","['37', '&nbsp;']","['D', '&nbsp;']","['38', '&nbsp;']","['11', '&nbsp;']","['6', '&nbsp;']","['13', '&nbsp;']","['2', ' ']"
1442,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['41', '&nbsp;']","['37', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['*', ' ']"
1442,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['*', 'i']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']","['2', ' ']"
1442,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,150', '&nbsp;']","['5,328', '&nbsp;']","['5,309', '&nbsp;']","['6,424', '&nbsp;']","['6,723', '&nbsp;']","['6,418', '&nbsp;']","['6,534', '&nbsp;']","['7,653', '&nbsp;']","['9,176', ' ']"
1442,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['200', '&nbsp;']","['126', '&nbsp;']","['148', 'i']","['D', '&nbsp;']","['57', '&nbsp;']","['41', '&nbsp;']","['65', '&nbsp;']","['58', '&nbsp;']","['64', ' ']"
1442,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['2,164', '&nbsp;']","['1,959', '&nbsp;']","['2,099', '&nbsp;']","['2,243', 'i']","['2,398', 'i']","['1,293', '&nbsp;']","['1,525', 'i']","['2,893', '&nbsp;']","['3,421', ' ']"
1442,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['3,544', '&nbsp;']","['2,905', '&nbsp;']","['2,696', '&nbsp;']","['3,581', '&nbsp;']","['3,810', '&nbsp;']","['4,259', '&nbsp;']","['4,546', '&nbsp;']","['4,380', '&nbsp;']","['5,412', ' ']"
