table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8320,r088,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Civil engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields",Civil engineering,4,16112,2.1,9352,2.0,6760,2.3,879,1.4,446,1.5
8320,r089,"All detailed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> Architectural, environmental, construction and surveying engineering",All detailed fields,Engineering,"Civil, environmental, transportation and related engineering fields","Architectural, environmental, construction and surveying engineering",4,3496,0.5,2378,0.5,1118,0.4,89,0.1,33,0.1
8320,r090,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",,3,45265,6.0,27695,5.9,17570,6.0,1275,2.0,755,2.5
8320,r091,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Electrical, electronics, and communications engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering","Electrical, electronics, and communications engineering",4,32633,4.3,17866,3.8,14767,5.0,1186,1.9,684,2.2
8320,r092,"All detailed fields -> Engineering -> Electrical, electronics, communications and computer engineering -> Computer engineering",All detailed fields,Engineering,"Electrical, electronics, communications and computer engineering",Computer engineering,4,12632,1.7,9829,2.1,2803,1.0,89,0.1,71,0.2
8320,r093,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,15870,2.1,11949,2.6,3921,1.3,127,0.2,107,0.4
8320,r094,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Industrial and manufacturing engineering",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Industrial and manufacturing engineering,4,7606,1.0,5284,1.1,2322,0.8,73,0.1,53,0.2
8320,r095,"All detailed fields -> Engineering -> Industrial, manufacturing, systems engineering and operations research -> Systems engineering and operations research",All detailed fields,Engineering,"Industrial, manufacturing, systems engineering and operations research",Systems engineering and operations research,4,8264,1.1,6665,1.4,1599,0.5,54,0.1,54,0.2
8320,r096,All detailed fields -> Engineering -> Mechanical engineering,All detailed fields,Engineering,Mechanical engineering,,3,27258,3.6,15718,3.4,11540,3.9,1200,1.9,529,1.7
8320,r097,"All detailed fields -> Engineering -> Metallurgical, mining, materials and related engineering fields",All detailed fields,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,7422,1.0,2518,0.5,4904,1.7,562,0.9,259,0.8
8320,r098,All detailed fields -> Engineering -> Other engineering,All detailed fields,Engineering,Other engineering,,3,20034,2.6,12276,2.6,7758,2.6,1148,1.8,823,2.7
8320,r099,All detailed fields -> Engineering -> Other engineering -> Agricultural engineering,All detailed fields,Engineering,Other engineering,Agricultural engineering,4,1187,0.2,519,0.1,668,0.2,112,0.2,55,0.2
8320,r100,"All detailed fields -> Engineering -> Other engineering -> Engineering mechanics, physics, and science",All detailed fields,Engineering,Other engineering,"Engineering mechanics, physics, and science",4,2239,0.3,782,0.2,1457,0.5,253,0.4,193,0.6
8320,r101,All detailed fields -> Engineering -> Other engineering -> Nuclear engineering,All detailed fields,Engineering,Other engineering,Nuclear engineering,4,1516,0.2,484,0.1,1032,0.4,99,0.2,40,0.1
8320,r102,"All detailed fields -> Engineering -> Other engineering -> Engineering, other",All detailed fields,Engineering,Other engineering,"Engineering, other",4,15092,2.0,10491,2.2,4601,1.6,684,1.1,535,1.8
8320,r103,All detailed fields -> Health,All detailed fields,Health,,,2,82322,10.8,65691,14.1,16631,5.7,17799,28.1,7828,25.6
8320,r104,All detailed fields -> Health -> Clinical medicine<sup>a</sup>,All detailed fields,Health,Clinical medicine<sup>a</sup>,,3,39633,5.2,34021,7.3,5612,1.9,15561,24.6,6751,22.1
8320,r105,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Medical clinical sciences and clinical and medical laboratory sciences ,All detailed fields,Health,Clinical medicine<sup>a</sup>,Medical clinical sciences and clinical and medical laboratory sciences ,4,1964,0.3,1287,0.3,677,0.2,345,0.5,134,0.4
8320,r106,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Public health,All detailed fields,Health,Clinical medicine<sup>a</sup>,Public health,4,37669,5.0,32734,7.0,4935,1.7,880,1.4,656,2.1
8320,r107,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Anesthesiology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Anesthesiology,4,ne,ne,ne,ne,ne,ne,414,0.7,108,0.4
8320,r108,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Cardiology and cardiovascular disease,All detailed fields,Health,Clinical medicine<sup>a</sup>,Cardiology and cardiovascular disease,4,ne,ne,ne,ne,ne,ne,660,1.0,215,0.7
8320,r109,"All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Endocrinology, diabetes, and metabolism",All detailed fields,Health,Clinical medicine<sup>a</sup>,"Endocrinology, diabetes, and metabolism",4,ne,ne,ne,ne,ne,ne,319,0.5,103,0.3
8320,r110,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Gastroenterology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Gastroenterology,4,ne,ne,ne,ne,ne,ne,315,0.5,112,0.4
8320,r111,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Hematology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Hematology,4,ne,ne,ne,ne,ne,ne,362,0.6,180,0.6
8320,r112,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Neurology and neurosurgery,All detailed fields,Health,Clinical medicine<sup>a</sup>,Neurology and neurosurgery,4,ne,ne,ne,ne,ne,ne,1522,2.4,527,1.7
8320,r113,All detailed fields -> Health -> Clinical medicine<sup>a</sup> -> Obstetrics and gynecology,All detailed fields,Health,Clinical medicine<sup>a</sup>,Obstetrics and gynecology,4,ne,ne,ne,ne,ne,ne,230,0.4,106,0.3
