table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_united_states,field_companies_outside_united_states_company_s_parent,field_companies_outside_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_all_other_in_united_states,field_all_other_outside_united_states
749,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['70', 'i']","['1', 'i']","['62', 'i']","['2', 'i']","['5', 'i']","['*', 'i']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
749,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['102', '&nbsp;']","['29', '&nbsp;']","['41', '&nbsp;']","['1', '&nbsp;']","['24', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['6', 'i']","['0', '&nbsp;']"
749,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['16', '&nbsp;']","['0', '&nbsp;']","['16', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
749,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['38', '&nbsp;']","['6', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['32', '&nbsp;']","['0', '&nbsp;']"
749,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['1', 'i']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
749,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
749,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['1', 'i']","['*', 'i']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', 'i']","['0', '&nbsp;']"
749,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['16,710', '&nbsp;']","['9,074', 'i']","['1,223', 'i']","['825', 'i']","['5,323', '&nbsp;']","['83', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
749,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,881', '&nbsp;']","['203', '&nbsp;']","['76', 'i']","['1', 'i']","['1,550', '&nbsp;']","['16', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
749,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['1,915', 'i']","['1,112', 'i']","['116', '&nbsp;']","['11', 'i']","['605', 'i']","['31', '&nbsp;']","['0', '&nbsp;']","['41', 'i']","['0', '&nbsp;']"
