table_id,row_id,time_period,broad_occupation_level_1,broad_occupation_level_2,broad_occupation_hierarchy_depth,value
7789,r015_7,,Detailed occupation,Label,2,Other mathematical scientists
7789,r016_4,,Minor occupation,Code,2,18
7789,r016_5,,Minor occupation,Label,2,Postsecondary teachers - computer and math sciences
7789,r016_6,,Detailed occupation,Code,2,182760
7789,r016_7,,Detailed occupation,Label,2,Postsecondary teachers - Computer sciences
7789,r017_6,,Detailed occupation,Code,2,182860
7789,r017_7,,Detailed occupation,Label,2,Postsecondary teachers - Mathematics and statistics
7789,r018_2,,Major occupation,Code,2,2
7789,r018_3,,Major occupation,Label,2,"Biological, agricultural, and other life scientists"
7789,r018_4,,Minor occupation,Code,2,21
7789,r018_5,,Minor occupation,Label,2,Agricultural and food scientists
7789,r018_6,,Detailed occupation,Code,2,210210
7789,r018_7,,Detailed occupation,Label,2,Agricultural and food scientists
7789,r019_4,,Minor occupation,Code,2,22
7789,r019_5,,Minor occupation,Label,2,Biological and medical scientists
7789,r019_6,,Detailed occupation,Code,2,220220
7789,r019_7,,Detailed occupation,Label,2,Biochemists and biophysicists
7789,r020_6,,Detailed occupation,Code,2,220230
7789,r020_7,,Detailed occupation,Label,2,Biological scientists
7789,r021_6,,Detailed occupation,Code,2,220250
7789,r021_7,,Detailed occupation,Label,2,Forestry and conservation scientists
7789,r022_6,,Detailed occupation,Code,2,220270
7789,r022_7,,Detailed occupation,Label,2,Medical scientists (excluding practitioners)
7789,r023_4,,Minor occupation,Code,2,23
7789,r023_5,,Minor occupation,Label,2,Environmental life scientists
7789,r023_6,,Detailed occupation,Code,2,230240
7789,r023_7,,Detailed occupation,Label,2,Forestry and conservation scientists
7789,r024_4,,Minor occupation,Code,2,28
7789,r024_5,,Minor occupation,Label,2,Postsecondary teachers - life and related sciences
7789,r024_6,,Detailed occupation,Code,2,282710
7789,r024_7,,Detailed occupation,Label,2,Postsecondary teachers - Agriculture
7789,r025_6,,Detailed occupation,Code,2,282730
7789,r025_7,,Detailed occupation,Label,2,Postsecondary teachers - Biological sciences
7789,r026_6,,Detailed occupation,Code,2,282970
7789,r026_7,,Detailed occupation,Label,2,Postsecondary teachers - Other natural sciences
7789,r027_2,,Major occupation,Code,2,3
7789,r027_3,,Major occupation,Label,2,Physical and related scientists
7789,r027_4,,Minor occupation,Code,2,31
7789,r027_5,,Minor occupation,Label,2,"Chemists, except biochemists"
7789,r027_6,,Detailed occupation,Code,2,311930
7789,r027_7,,Detailed occupation,Label,2,"Chemists, except biochemists"
7789,r028_4,,Minor occupation,Code,2,32
7789,r028_5,,Minor occupation,Label,2,"Earth, atmospheric, and ocean scientistsa"
7789,r028_6,,Detailed occupation,Code,2,321920
7789,r028_7,,Detailed occupation,Label,2,Atmospheric and space scientists
7789,r029_6,,Detailed occupation,Code,2,321940
7789,r029_7,,Detailed occupation,Label,2,"Geologists, including earth scientists and oceanographersb"
7789,r030_4,,Minor occupation,Code,2,33
7789,r030_5,,Minor occupation,Label,2,Physicistsc
7789,r030_6,,Detailed occupation,Code,2,331960
